"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.0023	188.25	10.244	0.010259	0.00054397	0.014955	0.20667	0.023428	0.21756	0.0015001	0.031782	0.0047891	0.045676	0.0065385	0.027494	0.00020817	0.0020467	5.9489e-05	8.2416e-05	0.00023179	0.0041171	0.00040697	0.0016118	0.0015787	0.0027094	0.0023122	0.012314	1.0201e-05	0.00045922	8.3733e-06	1.0836e-05	8.0039e-07	1.7239e-06	1.0959e-07	6.4031e-07	1.1944e-07	3.3247e-07	1.0836e-07	3.571e-07	8.0039e-08	1.9702e-07	3.571e-08	9.9741e-08	1.1698e-08	3.8173e-08	1.9702e-08	5.6643e-08	1.8471e-08	4.9255e-08	1.0836e-08	5.7875e-08	1.2191e-08	7.0188e-08	1.3545e-08	3.3247e-08	8.0039e-09	8.2502e-08	7.3882e-09	2.2165e-08	5.2949e-09	1.9702e-08	2.3396e-09	2.2165e-08	3.8173e-09	1.7239e-08	4.3098e-09	1.7239e-08	6.5263e-09	1.0836e-08	2.2165e-09	1.0959e-08	1.6008e-09	9.9741e-09	8.989e-10	9.9741e-09	3.4478e-09	1.4776e-08	9.7278e-09	1.8471e-08	3.4478e-09	6.0337e-09	1.8471e-09	1.7239e-08	8.989e-10	9.9741e-10
1.01623	194.46	10.503	0.010534	0.00056213	0.015388	0.21204	0.024095	0.22314	0.0015428	0.032604	0.004916	0.046841	0.0067077	0.028208	0.00021453	0.0021049	6.1487e-05	8.5136e-05	0.00023913	0.004227	0.00041821	0.0016554	0.0016184	0.0027791	0.0023689	0.012636	1.052e-05	0.00047171	8.5928e-06	1.112e-05	8.2137e-07	1.7691e-06	1.1246e-07	6.5709e-07	1.2257e-07	3.4118e-07	1.112e-07	3.6646e-07	8.2137e-08	2.0218e-07	3.6646e-08	1.0236e-07	1.2005e-08	3.9173e-08	2.0218e-08	5.8128e-08	1.8955e-08	5.0546e-08	1.112e-08	5.9391e-08	1.251e-08	7.2028e-08	1.39e-08	3.4118e-08	8.2137e-09	8.4664e-08	7.5819e-09	2.2746e-08	5.4337e-09	2.0218e-08	2.4009e-09	2.2746e-08	3.9173e-09	1.7691e-08	4.4228e-09	1.7691e-08	6.6973e-09	1.112e-08	2.2746e-09	1.1246e-08	1.6427e-09	1.0236e-08	9.2246e-10	1.0236e-08	3.5382e-09	1.5164e-08	9.9828e-09	1.8955e-08	3.5382e-09	6.1919e-09	1.8955e-09	1.7691e-08	9.2246e-10	1.0236e-09
1.03036	200.94	10.771	0.010819	0.00058106	0.015837	0.21761	0.024787	0.22892	0.0015872	0.033456	0.0050476	0.048047	0.0068831	0.028949	0.00022114	0.0021654	6.3569e-05	8.797e-05	0.00024677	0.004341	0.00042987	0.0017007	0.0016595	0.0028513	0.0024275	0.012971	1.0852e-05	0.00048466	8.8202e-06	1.1414e-05	8.431e-07	1.8159e-06	1.1544e-07	6.7448e-07	1.2582e-07	3.5021e-07	1.1414e-07	3.7615e-07	8.431e-08	2.0753e-07	3.7615e-08	1.0506e-07	1.2322e-08	4.021e-08	2.0753e-08	5.9666e-08	1.9456e-08	5.1883e-08	1.1414e-08	6.0963e-08	1.2841e-08	7.3934e-08	1.4268e-08	3.5021e-08	8.431e-09	8.6905e-08	7.7825e-09	2.3348e-08	5.5775e-09	2.0753e-08	2.4645e-09	2.3348e-08	4.021e-09	1.8159e-08	4.5398e-09	1.8159e-08	6.8745e-09	1.1414e-08	2.3348e-09	1.1544e-08	1.6862e-09	1.0506e-08	9.4687e-10	1.0506e-08	3.6318e-09	1.5565e-08	1.0247e-08	1.9456e-08	3.6318e-09	6.3557e-09	1.9456e-09	1.8159e-08	9.4687e-10	1.0506e-09
1.04467	207.74	11.051	0.011115	0.00060088	0.016306	0.22341	0.025509	0.23494	0.0016335	0.034344	0.0051848	0.049304	0.0070659	0.029721	0.00022804	0.0022285	6.5751e-05	9.0938e-05	0.00025477	0.0044598	0.00044204	0.0017479	0.0017022	0.0029265	0.0024886	0.013319	1.12e-05	0.00049816	9.0571e-06	1.1721e-05	8.6575e-07	1.8647e-06	1.1854e-07	6.926e-07	1.292e-07	3.5962e-07	1.1721e-07	3.8626e-07	8.6575e-08	2.1311e-07	3.8626e-08	1.0789e-07	1.2653e-08	4.129e-08	2.1311e-08	6.1268e-08	1.9979e-08	5.3277e-08	1.1721e-08	6.26e-08	1.3186e-08	7.5919e-08	1.4651e-08	3.5962e-08	8.6575e-09	8.9239e-08	7.9915e-09	2.3975e-08	5.7273e-09	2.1311e-08	2.5306e-09	2.3975e-08	4.129e-09	1.8647e-08	4.6617e-09	1.8647e-08	7.0592e-09	1.1721e-08	2.3975e-09	1.1854e-08	1.7315e-09	1.0789e-08	9.723e-10	1.0789e-08	3.7294e-09	1.5983e-08	1.0522e-08	1.9979e-08	3.7294e-09	6.5264e-09	1.9979e-09	1.8647e-08	9.723e-10	1.0789e-09
1.05919	214.79	11.338	0.01142	0.00062136	0.016789	0.22937	0.026253	0.24113	0.0016812	0.035256	0.0053258	0.050595	0.0072537	0.030514	0.00023517	0.0022935	6.8007e-05	9.4005e-05	0.00026302	0.004582	0.00045455	0.0017964	0.0017461	0.0030038	0.0025513	0.013677	1.1558e-05	0.00051205	9.3005e-06	1.2036e-05	8.8902e-07	1.9148e-06	1.2173e-07	7.1122e-07	1.3267e-07	3.6929e-07	1.2036e-07	3.9664e-07	8.8902e-08	2.1884e-07	3.9664e-08	1.1079e-07	1.2993e-08	4.2399e-08	2.1884e-08	6.2915e-08	2.0516e-08	5.4709e-08	1.2036e-08	6.4283e-08	1.354e-08	7.796e-08	1.5045e-08	3.6929e-08	8.8902e-09	9.1638e-08	8.2063e-09	2.4619e-08	5.8812e-09	2.1884e-08	2.5987e-09	2.4619e-08	4.2399e-09	1.9148e-08	4.787e-09	1.9148e-08	7.2489e-09	1.2036e-08	2.4619e-09	1.2173e-08	1.778e-09	1.1079e-08	9.9844e-10	1.1079e-08	3.8296e-09	1.6413e-08	1.0805e-08	2.0516e-08	3.8296e-09	6.7018e-09	2.0516e-09	1.9148e-08	9.9844e-10	1.1079e-09
1.07391	222.17	11.636	0.011737	0.00064275	0.017292	0.23557	0.027027	0.24756	0.0017309	0.036203	0.0054723	0.051935	0.0074487	0.031338	0.00024259	0.0023612	7.0363e-05	9.7207e-05	0.00027162	0.004709	0.00046756	0.0018468	0.0017917	0.003084	0.0026163	0.014049	1.1931e-05	0.00052648	9.5533e-06	1.2363e-05	9.1319e-07	1.9669e-06	1.2504e-07	7.3055e-07	1.3628e-07	3.7932e-07	1.2363e-07	4.0742e-07	9.1319e-08	2.2478e-07	4.0742e-08	1.138e-07	1.3347e-08	4.3552e-08	2.2478e-08	6.4626e-08	2.1074e-08	5.6196e-08	1.2363e-08	6.603e-08	1.3909e-08	8.008e-08	1.5454e-08	3.7932e-08	9.1319e-09	9.4129e-08	8.4294e-09	2.5288e-08	6.0411e-09	2.2478e-08	2.6693e-09	2.5288e-08	4.3552e-09	1.9669e-08	4.9172e-09	1.9669e-08	7.446e-09	1.2363e-08	2.5288e-09	1.2504e-08	1.8264e-09	1.138e-08	1.0256e-09	1.138e-08	3.9337e-09	1.6859e-08	1.1099e-08	2.1074e-08	3.9337e-09	6.884e-09	2.1074e-09	1.9669e-08	1.0256e-09	1.138e-09
1.08884	229.8	11.941	0.012061	0.00066474	0.017807	0.2419	0.02782	0.25412	0.0017817	0.037172	0.0056221	0.053305	0.007648	0.032181	0.00025021	0.0024305	7.2787e-05	0.0001005	0.00028046	0.0048389	0.00048088	0.0018983	0.0018382	0.003166	0.0026826	0.014429	1.2315e-05	0.00054125	9.8119e-06	1.2698e-05	9.379e-07	2.0201e-06	1.2842e-07	7.5032e-07	1.3996e-07	3.8959e-07	1.2698e-07	4.1845e-07	9.379e-08	2.3087e-07	4.1845e-08	1.1688e-07	1.3708e-08	4.4731e-08	2.3087e-08	6.6374e-08	2.1644e-08	5.7717e-08	1.2698e-08	6.7817e-08	1.4285e-08	8.2247e-08	1.5872e-08	3.8959e-08	9.379e-09	9.6676e-08	8.6575e-09	2.5973e-08	6.2046e-09	2.3087e-08	2.7416e-09	2.5973e-08	4.4731e-09	2.0201e-08	5.0502e-09	2.0201e-08	7.6475e-09	1.2698e-08	2.5973e-09	1.2842e-08	1.8758e-09	1.1688e-08	1.0533e-09	1.1688e-08	4.0402e-09	1.7315e-08	1.1399e-08	2.1644e-08	4.0402e-09	7.0703e-09	2.1644e-09	2.0201e-08	1.0533e-09	1.1688e-09
1.10397	226.42	11.788	0.011949	0.00066262	0.017662	0.23898	0.02755	0.25097	0.0017659	0.036724	0.0055606	0.052645	0.007559	0.031792	0.0002484	0.0024069	7.2488e-05	0.0001002	0.00027872	0.0047837	0.0004763	0.0018797	0.0018171	0.0031306	0.00265	0.014272	1.2245e-05	0.0005357	9.7052e-06	1.256e-05	9.2771e-07	1.9981e-06	1.2702e-07	7.4217e-07	1.3844e-07	3.8536e-07	1.256e-07	4.139e-07	9.2771e-08	2.2836e-07	4.139e-08	1.1561e-07	1.3559e-08	4.4245e-08	2.2836e-08	6.5653e-08	2.1409e-08	5.709e-08	1.256e-08	6.708e-08	1.413e-08	8.1353e-08	1.57e-08	3.8536e-08	9.2771e-09	9.5625e-08	8.5635e-09	2.569e-08	6.1371e-09	2.2836e-08	2.7118e-09	2.569e-08	4.4245e-09	1.9981e-08	4.9953e-09	1.9981e-08	7.5644e-09	1.256e-08	2.569e-09	1.2702e-08	1.8554e-09	1.1561e-08	1.0419e-09	1.1561e-08	3.9963e-09	1.7127e-08	1.1275e-08	2.1409e-08	3.9963e-09	6.9935e-09	2.1409e-09	1.9981e-08	1.0419e-09	1.1561e-09
1.11931	216.36	11.359	0.011569	0.00064541	0.017112	0.23043	0.02663	0.24191	0.0017092	0.035416	0.0053703	0.050752	0.0072946	0.030655	0.00024078	0.0023264	7.0492e-05	9.7664e-05	0.00027043	0.0046158	0.00046078	0.0018182	0.001755	0.0030237	0.0025573	0.013788	1.1893e-05	0.00051774	9.3761e-06	1.2134e-05	8.9624e-07	1.9304e-06	1.2272e-07	7.1699e-07	1.3375e-07	3.7229e-07	1.2134e-07	3.9986e-07	8.9624e-08	2.2061e-07	3.9986e-08	1.1169e-07	1.3099e-08	4.2744e-08	2.2061e-08	6.3426e-08	2.0683e-08	5.5153e-08	1.2134e-08	6.4805e-08	1.365e-08	7.8594e-08	1.5167e-08	3.7229e-08	8.9624e-09	9.2382e-08	8.273e-09	2.4819e-08	5.929e-09	2.2061e-08	2.6198e-09	2.4819e-08	4.2744e-09	1.9304e-08	4.8259e-09	1.9304e-08	7.3078e-09	1.2134e-08	2.4819e-09	1.2272e-08	1.7925e-09	1.1169e-08	1.0066e-09	1.1169e-08	3.8607e-09	1.6546e-08	1.0893e-08	2.0683e-08	3.8607e-09	6.7563e-09	2.0683e-09	1.9304e-08	1.0066e-09	1.1169e-09
1.13487	206.68	10.943	0.0112	0.00062848	0.016575	0.22214	0.025734	0.23313	0.0016539	0.034148	0.0051853	0.048917	0.0070379	0.029552	0.00023333	0.0022481	6.8531e-05	9.5166e-05	0.00026231	0.0044528	0.00044566	0.0017583	0.0016945	0.0029199	0.0024674	0.013318	1.1549e-05	0.00050027	9.0561e-06	1.172e-05	8.6566e-07	1.8645e-06	1.1853e-07	6.9253e-07	1.2918e-07	3.5958e-07	1.172e-07	3.8622e-07	8.6566e-08	2.1309e-07	3.8622e-08	1.0787e-07	1.2652e-08	4.1285e-08	2.1309e-08	6.1262e-08	1.9977e-08	5.3271e-08	1.172e-08	6.2594e-08	1.3185e-08	7.5912e-08	1.465e-08	3.5958e-08	8.6566e-09	8.923e-08	7.9907e-09	2.3972e-08	5.7267e-09	2.1309e-08	2.5304e-09	2.3972e-08	4.1285e-09	1.8645e-08	4.6613e-09	1.8645e-08	7.0585e-09	1.172e-08	2.3972e-09	1.1853e-08	1.7313e-09	1.0787e-08	9.722e-10	1.0787e-08	3.729e-09	1.5981e-08	1.0521e-08	1.9977e-08	3.729e-09	6.5258e-09	1.9977e-09	1.8645e-08	9.722e-10	1.0787e-09
