"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=3	Z=4	Z=5	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=43	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=61	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.0023	202.29	11.169	0.01118	0.00059266	0.016287	0.22496	0.026786	0.24829	0.0016333	0.041625	0.0052138	0.049711	0.0071179	0.029918	0.00022661	0.0022272	6.4764e-05	0.00063928	0.0002523	0.0044802	0.00044318	0.0017555	0.0017198	0.0029507	0.0025185	0.013409	1.1111e-05	0.00049996	9.1184e-06	1.18e-05	8.7161e-07	1.8773e-06	1.1934e-07	6.9729e-07	1.3007e-07	3.6205e-07	1.18e-07	3.8887e-07	8.7161e-08	2.1455e-07	3.8887e-08	1.0862e-07	1.2739e-08	4.1569e-08	2.1455e-08	6.1683e-08	2.0114e-08	5.3638e-08	1.18e-08	6.3024e-08	1.3275e-08	7.6434e-08	1.475e-08	3.6205e-08	8.7161e-09	8.9843e-08	8.0457e-09	2.4137e-08	5.7661e-09	2.1455e-08	2.5478e-09	2.4137e-08	4.1569e-09	1.8773e-08	4.6933e-09	1.8773e-08	7.107e-09	1.18e-08	2.4137e-09	1.1934e-08	1.7432e-09	1.0862e-08	9.7889e-10	1.0862e-08	3.7546e-09	1.6091e-08	1.0593e-08	2.0114e-08	3.7546e-09	6.5706e-09	2.0114e-09	1.8773e-08	9.7889e-10	1.0862e-09
1.01623	207.42	11.364	0.011393	0.00060785	0.016631	0.22904	0.027328	0.25266	0.0016671	0.042338	0.0053113	0.050589	0.0072466	0.030461	0.00023175	0.002273	6.6431e-05	0.00064755	0.00025831	0.0045646	0.00045197	0.0017894	0.0017497	0.0030038	0.0025608	0.013657	1.1372e-05	0.00050966	9.2866e-06	1.2018e-05	8.8769e-07	1.9119e-06	1.2155e-07	7.1015e-07	1.3247e-07	3.6873e-07	1.2018e-07	3.9605e-07	8.8769e-08	2.1851e-07	3.9605e-08	1.1062e-07	1.2974e-08	4.2336e-08	2.1851e-08	6.2821e-08	2.0485e-08	5.4627e-08	1.2018e-08	6.4187e-08	1.352e-08	7.7844e-08	1.5022e-08	3.6873e-08	8.8769e-09	9.15e-08	8.1941e-09	2.4582e-08	5.8724e-09	2.1851e-08	2.5948e-09	2.4582e-08	4.2336e-09	1.9119e-08	4.7799e-09	1.9119e-08	7.2381e-09	1.2018e-08	2.4582e-09	1.2155e-08	1.7754e-09	1.1062e-08	9.9694e-10	1.1062e-08	3.8239e-09	1.6388e-08	1.0789e-08	2.0485e-08	3.8239e-09	6.6918e-09	2.0485e-09	1.9119e-08	9.9694e-10	1.1062e-09
1.03036	212.73	11.564	0.011613	0.00062355	0.016986	0.23323	0.027886	0.25715	0.0017019	0.04307	0.0054117	0.051492	0.007379	0.031019	0.00023705	0.0023202	6.8153e-05	0.00065591	0.00026451	0.0046514	0.00046103	0.0018243	0.0017805	0.0030584	0.0026043	0.013911	1.1642e-05	0.00051963	9.4595e-06	1.2242e-05	9.0422e-07	1.9475e-06	1.2381e-07	7.2337e-07	1.3494e-07	3.756e-07	1.2242e-07	4.0342e-07	9.0422e-08	2.2258e-07	4.0342e-08	1.1268e-07	1.3216e-08	4.3124e-08	2.2258e-08	6.3991e-08	2.0867e-08	5.5644e-08	1.2242e-08	6.5382e-08	1.3772e-08	7.9293e-08	1.5302e-08	3.756e-08	9.0422e-09	9.3204e-08	8.3466e-09	2.504e-08	5.9818e-09	2.2258e-08	2.6431e-09	2.504e-08	4.3124e-09	1.9475e-08	4.8689e-09	1.9475e-08	7.3729e-09	1.2242e-08	2.504e-09	1.2381e-08	1.8084e-09	1.1268e-08	1.0155e-09	1.1268e-08	3.8951e-09	1.6693e-08	1.099e-08	2.0867e-08	3.8951e-09	6.8164e-09	2.0867e-09	1.9475e-08	1.0155e-09	1.1268e-09
1.04467	218.26	11.771	0.01184	0.00063988	0.017354	0.23758	0.028464	0.26179	0.001738	0.043826	0.0055156	0.052426	0.007516	0.031597	0.00024255	0.0023692	6.9944e-05	0.0006644	0.00027095	0.0047413	0.0004704	0.0018604	0.0018123	0.0031148	0.0026492	0.014174	1.1921e-05	0.00052996	9.6384e-06	1.2473e-05	9.2132e-07	1.9844e-06	1.2615e-07	7.3706e-07	1.3749e-07	3.827e-07	1.2473e-07	4.1105e-07	9.2132e-08	2.2679e-07	4.1105e-08	1.1481e-07	1.3465e-08	4.394e-08	2.2679e-08	6.5201e-08	2.1261e-08	5.6697e-08	1.2473e-08	6.6619e-08	1.4032e-08	8.0793e-08	1.5592e-08	3.827e-08	9.2132e-09	9.4967e-08	8.5045e-09	2.5514e-08	6.0949e-09	2.2679e-08	2.6931e-09	2.5514e-08	4.394e-09	1.9844e-08	4.961e-09	1.9844e-08	7.5123e-09	1.2473e-08	2.5514e-09	1.2615e-08	1.8426e-09	1.1481e-08	1.0347e-09	1.1481e-08	3.9688e-09	1.7009e-08	1.1198e-08	2.1261e-08	3.9688e-09	6.9453e-09	2.1261e-09	1.9844e-08	1.0347e-09	1.1481e-09
1.05919	223.95	11.982	0.012072	0.00065658	0.017729	0.242	0.029053	0.2665	0.0017747	0.044594	0.0056212	0.053375	0.0076553	0.032185	0.00024817	0.0024191	7.1778e-05	0.00067297	0.00027753	0.0048328	0.00047995	0.0018972	0.0018446	0.0031722	0.0026949	0.014442	1.2207e-05	0.00054047	9.8204e-06	1.2709e-05	9.3871e-07	2.0218e-06	1.2853e-07	7.5097e-07	1.4009e-07	3.8993e-07	1.2709e-07	4.1881e-07	9.3871e-08	2.3107e-07	4.1881e-08	1.1698e-07	1.372e-08	4.4769e-08	2.3107e-08	6.6432e-08	2.1663e-08	5.7767e-08	1.2709e-08	6.7876e-08	1.4297e-08	8.2318e-08	1.5886e-08	3.8993e-08	9.3871e-09	9.676e-08	8.6651e-09	2.5995e-08	6.21e-09	2.3107e-08	2.7439e-09	2.5995e-08	4.4769e-09	2.0218e-08	5.0546e-09	2.0218e-08	7.6541e-09	1.2709e-08	2.5995e-09	1.2853e-08	1.8774e-09	1.1698e-08	1.0542e-09	1.1698e-08	4.0437e-09	1.733e-08	1.1409e-08	2.1663e-08	4.0437e-09	7.0765e-09	2.1663e-09	2.0218e-08	1.0542e-09	1.1698e-09
1.07391	229.85	12.199	0.01231	0.00067388	0.018117	0.24655	0.029661	0.27136	0.0018127	0.045383	0.0057302	0.054353	0.0077988	0.032791	0.00025397	0.0024706	7.3677e-05	0.00068164	0.00028434	0.0049272	0.0004898	0.0019351	0.0018779	0.0032313	0.0027418	0.014717	1.2503e-05	0.00055131	1.0008e-05	1.2951e-05	9.5664e-07	2.0604e-06	1.3099e-07	7.6531e-07	1.4276e-07	3.9737e-07	1.2951e-07	4.2681e-07	9.5664e-08	2.3548e-07	4.2681e-08	1.1921e-07	1.3982e-08	4.5624e-08	2.3548e-08	6.77e-08	2.2076e-08	5.887e-08	1.2951e-08	6.9172e-08	1.457e-08	8.389e-08	1.6189e-08	3.9737e-08	9.5664e-09	9.8607e-08	8.8305e-09	2.6491e-08	6.3285e-09	2.3548e-08	2.7963e-09	2.6491e-08	4.5624e-09	2.0604e-08	5.1511e-09	2.0604e-08	7.8003e-09	1.2951e-08	2.6491e-09	1.3099e-08	1.9133e-09	1.1921e-08	1.0744e-09	1.1921e-08	4.1209e-09	1.7661e-08	1.1627e-08	2.2076e-08	4.1209e-09	7.2116e-09	2.2076e-09	2.0604e-08	1.0744e-09	1.1921e-09
1.08884	235.89	12.418	0.012551	0.00069146	0.018509	0.25115	0.030276	0.27627	0.0018511	0.04618	0.0058402	0.055341	0.0079437	0.033403	0.00025986	0.0025227	7.5608e-05	0.00069038	0.00029125	0.0050226	0.00049975	0.0019734	0.0019115	0.0032909	0.0027892	0.014996	1.2803e-05	0.00056227	1.0197e-05	1.3197e-05	9.7474e-07	2.0994e-06	1.3346e-07	7.7979e-07	1.4546e-07	4.0489e-07	1.3197e-07	4.3489e-07	9.7474e-08	2.3994e-07	4.3489e-08	1.2147e-07	1.4246e-08	4.6488e-08	2.3994e-08	6.8982e-08	2.2494e-08	5.9984e-08	1.3197e-08	7.0481e-08	1.4846e-08	8.5478e-08	1.6496e-08	4.0489e-08	9.7474e-09	1.0047e-07	8.9976e-09	2.6993e-08	6.4483e-09	2.3994e-08	2.8493e-09	2.6993e-08	4.6488e-09	2.0994e-08	5.2486e-09	2.0994e-08	7.9479e-09	1.3197e-08	2.6993e-09	1.3346e-08	1.9495e-09	1.2147e-08	1.0947e-09	1.2147e-08	4.1989e-09	1.7995e-08	1.1847e-08	2.2494e-08	4.1989e-09	7.3481e-09	2.2494e-09	2.0994e-08	1.0947e-09	1.2147e-09
1.10397	232.96	12.289	0.012464	0.00069089	0.018402	0.24871	0.030083	0.27378	0.0018391	0.045902	0.0057901	0.054786	0.00787	0.033078	0.0002586	0.0025042	7.5478e-05	0.00069643	0.00029013	0.0049772	0.00049618	0.0019588	0.0018941	0.0032619	0.0027618	0.014869	1.276e-05	0.00055784	1.0111e-05	1.3084e-05	9.6645e-07	2.0816e-06	1.3233e-07	7.7316e-07	1.4422e-07	4.0145e-07	1.3084e-07	4.3119e-07	9.6645e-08	2.379e-07	4.3119e-08	1.2043e-07	1.4125e-08	4.6092e-08	2.379e-08	6.8395e-08	2.2303e-08	5.9474e-08	1.3084e-08	6.9882e-08	1.472e-08	8.4751e-08	1.6355e-08	4.0145e-08	9.6645e-09	9.9619e-08	8.9211e-09	2.6763e-08	6.3935e-09	2.379e-08	2.825e-09	2.6763e-08	4.6092e-09	2.0816e-08	5.204e-09	2.0816e-08	7.8803e-09	1.3084e-08	2.6763e-09	1.3233e-08	1.9329e-09	1.2043e-08	1.0854e-09	1.2043e-08	4.1632e-09	1.7842e-08	1.1746e-08	2.2303e-08	4.1632e-09	7.2856e-09	2.2303e-09	2.0816e-08	1.0854e-09	1.2043e-09
1.11931	224.6	11.949	0.012175	0.00067892	0.017988	0.24198	0.029394	0.26679	0.001796	0.044969	0.005642	0.053292	0.0076629	0.032182	0.00025291	0.0024423	7.4057e-05	0.0007008	0.00028402	0.0048458	0.0004843	0.0019115	0.0018455	0.0031787	0.002689	0.014492	1.2504e-05	0.00054397	9.8549e-06	1.2753e-05	9.4201e-07	2.0289e-06	1.2898e-07	7.5361e-07	1.4058e-07	3.913e-07	1.2753e-07	4.2028e-07	9.4201e-08	2.3188e-07	4.2028e-08	1.1739e-07	1.3768e-08	4.4927e-08	2.3188e-08	6.6665e-08	2.1739e-08	5.797e-08	1.2753e-08	6.8115e-08	1.4348e-08	8.2607e-08	1.5942e-08	3.913e-08	9.4201e-09	9.71e-08	8.6955e-09	2.6086e-08	6.2318e-09	2.3188e-08	2.7536e-09	2.6086e-08	4.4927e-09	2.0289e-08	5.0724e-09	2.0289e-08	7.681e-09	1.2753e-08	2.6086e-09	1.2898e-08	1.884e-09	1.1739e-08	1.058e-09	1.1739e-08	4.0579e-09	1.7391e-08	1.1449e-08	2.1739e-08	4.0579e-09	7.1013e-09	2.1739e-09	2.0289e-08	1.058e-09	1.1739e-09
1.13487	216.5	11.616	0.01189	0.00066701	0.017579	0.23539	0.028717	0.25996	0.0017535	0.044059	0.0054968	0.05183	0.0074599	0.031306	0.0002473	0.0023815	7.2647e-05	0.00070519	0.00027798	0.004717	0.00047261	0.0018651	0.0017979	0.003097	0.0026176	0.014124	1.2251e-05	0.00053035	9.6041e-06	1.2429e-05	9.1804e-07	1.9773e-06	1.257e-07	7.3443e-07	1.37e-07	3.8134e-07	1.2429e-07	4.0959e-07	9.1804e-08	2.2598e-07	4.0959e-08	1.144e-07	1.3417e-08	4.3783e-08	2.2598e-08	6.4969e-08	2.1186e-08	5.6495e-08	1.2429e-08	6.6381e-08	1.3982e-08	8.0505e-08	1.5536e-08	3.8134e-08	9.1804e-09	9.4629e-08	8.4742e-09	2.5423e-08	6.0732e-09	2.2598e-08	2.6835e-09	2.5423e-08	4.3783e-09	1.9773e-08	4.9433e-09	1.9773e-08	7.4855e-09	1.2429e-08	2.5423e-09	1.257e-08	1.8361e-09	1.144e-08	1.031e-09	1.144e-08	3.9546e-09	1.6948e-08	1.1158e-08	2.1186e-08	3.9546e-09	6.9206e-09	2.1186e-09	1.9773e-08	1.031e-09	1.144e-09
1.15064	208.66	11.293	0.011612	0.00065532	0.01718	0.22897	0.028057	0.25332	0.0017121	0.043176	0.0053551	0.050405	0.007262	0.030451	0.00024181	0.0023221	7.1264e-05	0.00070962	0.00027207	0.0045914	0.00046119	0.0018197	0.0017515	0.0030174	0.0025481	0.013764	1.2003e-05	0.00051705	9.3593e-06	1.2112e-05	8.9464e-07	1.9269e-06	1.225e-07	7.1571e-07	1.3351e-07	3.7162e-07	1.2112e-07	3.9915e-07	8.9464e-08	2.2022e-07	3.9915e-08	1.1149e-07	1.3076e-08	4.2668e-08	2.2022e-08	6.3313e-08	2.0646e-08	5.5055e-08	1.2112e-08	6.469e-08	1.3626e-08	7.8453e-08	1.514e-08	3.7162e-08	8.9464e-09	9.2217e-08	8.2582e-09	2.4775e-08	5.9184e-09	2.2022e-08	2.6151e-09	2.4775e-08	4.2668e-09	1.9269e-08	4.8173e-09	1.9269e-08	7.2948e-09	1.2112e-08	2.4775e-09	1.225e-08	1.7893e-09	1.1149e-08	1.0048e-09	1.1149e-08	3.8538e-09	1.6516e-08	1.0873e-08	2.0646e-08	3.8538e-09	6.7442e-09	2.0646e-09	1.9269e-08	1.0048e-09	1.1149e-09
1.16663	201.06	10.976	0.011339	0.00064372	0.016787	0.22269	0.02741	0.24683	0.0016713	0.042315	0.0052162	0.049013	0.0070683	0.029616	0.0002364	0.0022639	6.9894e-05	0.00071408	0.00026624	0.0044686	0.00044998	0.0017752	0.0017061	0.0029393	0.00248	0.013411	1.1758e-05	0.00050401	9.1195e-06	1.1802e-05	8.7172e-07	1.8775e-06	1.1936e-07	6.9737e-07	1.3009e-07	3.621e-07	1.1802e-07	3.8892e-07	8.7172e-08	2.1458e-07	3.8892e-08	1.0863e-07	1.274e-08	4.1574e-08	2.1458e-08	6.1691e-08	2.0117e-08	5.3644e-08	1.1802e-08	6.3032e-08	1.3277e-08	7.6443e-08	1.4752e-08	3.621e-08	8.7172e-09	8.9854e-08	8.0466e-09	2.414e-08	5.7667e-09	2.1458e-08	2.5481e-09	2.414e-08	4.1574e-09	1.8775e-08	4.6939e-09	1.8775e-08	7.1078e-09	1.1802e-08	2.414e-09	1.1936e-08	1.7434e-09	1.0863e-08	9.79e-10	1.0863e-08	3.7551e-09	1.6093e-08	1.0595e-08	2.0117e-08	3.7551e-09	6.5714e-09	2.0117e-09	1.8775e-08	9.79e-10	1.0863e-09
1.18284	193.7	10.668	0.011072	0.00063231	0.016402	0.21657	0.026778	0.24051	0.0016314	0.041479	0.0050807	0.047656	0.0068794	0.028802	0.0002311	0.0022069	6.8548e-05	0.00071858	0.00026052	0.0043487	0.00043902	0.0017317	0.0016617	0.0028632	0.0024136	0.013067	1.1518e-05	0.00049127	8.8852e-06	1.1499e-05	8.4932e-07	1.8293e-06	1.1629e-07	6.7946e-07	1.2675e-07	3.528e-07	1.1499e-07	3.7893e-07	8.4932e-08	2.0906e-07	3.7893e-08	1.0584e-07	1.2413e-08	4.0506e-08	2.0906e-08	6.0106e-08	1.96e-08	5.2266e-08	1.1499e-08	6.1413e-08	1.2936e-08	7.4479e-08	1.4373e-08	3.528e-08	8.4932e-09	8.7546e-08	7.8399e-09	2.352e-08	5.6186e-09	2.0906e-08	2.4826e-09	2.352e-08	4.0506e-09	1.8293e-08	4.5733e-09	1.8293e-08	6.9253e-09	1.1499e-08	2.352e-09	1.1629e-08	1.6986e-09	1.0584e-08	9.5386e-10	1.0584e-08	3.6586e-09	1.568e-08	1.0323e-08	1.96e-08	3.6586e-09	6.4026e-09	1.96e-09	1.8293e-08	9.5386e-10	1.0584e-09
1.19928	186.58	10.367	0.01081	0.000621	0.016024	0.21059	0.02616	0.23434	0.0015923	0.040665	0.004948	0.04633	0.0066946	0.028006	0.00022589	0.0021511	6.7216e-05	0.00072309	0.00025488	0.0042314	0.00042826	0.001689	0.0016182	0.0027886	0.0023487	0.012729	1.1281e-05	0.00047878	8.6559e-06	1.1202e-05	8.274e-07	1.7821e-06	1.1329e-07	6.6192e-07	1.2347e-07	3.4369e-07	1.1202e-07	3.6915e-07	8.274e-08	2.0367e-07	3.6915e-08	1.0311e-07	1.2093e-08	3.9461e-08	2.0367e-08	5.8555e-08	1.9094e-08	5.0917e-08	1.1202e-08	5.9828e-08	1.2602e-08	7.2557e-08	1.4002e-08	3.4369e-08	8.274e-09	8.5286e-08	7.6376e-09	2.2913e-08	5.4736e-09	2.0367e-08	2.4186e-09	2.2913e-08	3.9461e-09	1.7821e-08	4.4552e-09	1.7821e-08	6.7465e-09	1.1202e-08	2.2913e-09	1.1329e-08	1.6548e-09	1.0311e-08	9.2924e-10	1.0311e-08	3.5642e-09	1.5275e-08	1.0056e-08	1.9094e-08	3.5642e-09	6.2373e-09	1.9094e-09	1.7821e-08	9.2924e-10	1.0311e-09
