"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.0023	4.6343e+07	2.3491e+06	27395	7021.5	58226	2.6557	12409	1015.9	12009	1063.7	20924	13.274	5681.7	9.7848	103.15	21.222	2810	4.581	68.457	6.3937	258.06	87.976	15640	203.79	496.11	4.7671	11.663	0.76293	1.9081	0.11444	1.1444	0.15259	0.76293	0.11444	0.38147	0.076293	0.19081	0.015259	0.076293	0.03433	0.0076293	0.022882	0.0076293	0.026698	0.003433	0.076293	0.0053411	0.11444	0.022882	0.10299	0.0076293	0.076293	0.0076293	0.019081	0.0030514	0.015259	0.0038147	0.0015259	0.0076293	0.0011444	0.0076293	0.0015259	0.0038147	0.00076293	0.003433	0.00076293	0.0030514	0.0003433	0.0038147	0.00076293	0.011444	0.011444	0.022882	0.0038147	0.0038147	0.003433	0.038147	0.0022882	0.00076293
1.01623	4.5739e+07	2.3112e+06	26953	6908.2	57287	2.6128	12209	999.49	11815	1046.5	20586	13.06	5590.1	9.627	101.49	20.879	2764.7	4.5071	67.353	6.2906	253.9	86.557	15388	200.51	488.11	4.6902	11.475	0.75062	1.8773	0.11259	1.1259	0.15012	0.75062	0.11259	0.37531	0.075062	0.18773	0.015012	0.075062	0.033777	0.0075062	0.022513	0.0075062	0.026267	0.0033777	0.075062	0.005255	0.11259	0.022513	0.10133	0.0075062	0.075062	0.0075062	0.018773	0.0030022	0.015012	0.0037531	0.0015012	0.0075062	0.0011259	0.0075062	0.0015012	0.0037531	0.00075062	0.0033777	0.00075062	0.0030022	0.00033777	0.0037531	0.00075062	0.011259	0.011259	0.022513	0.0037531	0.0037531	0.0033777	0.037531	0.0022513	0.00075062
1.03036	4.514e+07	2.2738e+06	26516	6796.3	56359	2.5705	12011	983.3	11623	1029.6	20253	12.848	5499.5	9.4711	99.842	20.541	2719.9	4.4341	66.262	6.1887	249.79	85.155	15139	197.26	480.2	4.6143	11.289	0.73847	1.8469	0.11077	1.1077	0.14769	0.73847	0.11077	0.36923	0.073847	0.18469	0.014769	0.073847	0.033229	0.0073847	0.022148	0.0073847	0.025842	0.0033229	0.073847	0.0051699	0.11077	0.022148	0.099688	0.0073847	0.073847	0.0073847	0.018469	0.0029536	0.014769	0.0036923	0.0014769	0.0073847	0.0011077	0.0073847	0.0014769	0.0036923	0.00073847	0.0033229	0.00073847	0.0029536	0.00033229	0.0036923	0.00073847	0.011077	0.011077	0.022148	0.0036923	0.0036923	0.0033229	0.036923	0.0022148	0.00073847
1.04467	4.4548e+07	2.2368e+06	26085	6685.8	55442	2.5287	11816	967.31	11434	1012.8	19923	12.639	5410.1	9.317	98.218	20.207	2675.6	4.362	65.184	6.088	245.73	83.77	14892	194.05	472.39	4.5392	11.105	0.72646	1.8169	0.10897	1.0897	0.14529	0.72646	0.10897	0.36323	0.072646	0.18169	0.014529	0.072646	0.032689	0.0072645	0.021788	0.0072645	0.025421	0.0032689	0.072646	0.0050858	0.10897	0.021788	0.098067	0.0072645	0.072646	0.0072645	0.018169	0.0029055	0.014529	0.0036323	0.0014529	0.0072645	0.0010897	0.0072645	0.0014529	0.0036323	0.00072646	0.0032689	0.00072646	0.0029055	0.00032689	0.0036323	0.00072646	0.010897	0.010897	0.021788	0.0036323	0.0036323	0.0032689	0.036323	0.0021788	0.00072646
1.05919	4.3962e+07	2.2003e+06	25659	6576.6	54537	2.4874	11623	951.51	11248	996.29	19598	12.433	5321.7	9.1648	96.614	19.877	2631.9	4.2908	64.12	5.9886	241.71	82.402	14649	190.88	464.67	4.4651	10.924	0.71459	1.7872	0.10719	1.0719	0.14292	0.71459	0.10719	0.3573	0.071459	0.17872	0.014292	0.071459	0.032155	0.0071459	0.021432	0.0071459	0.025006	0.0032155	0.071459	0.0050027	0.10719	0.021432	0.096465	0.0071459	0.071459	0.0071459	0.017872	0.0028581	0.014292	0.003573	0.0014292	0.0071459	0.0010719	0.0071459	0.0014292	0.003573	0.00071459	0.0032155	0.00071459	0.0028581	0.00032155	0.003573	0.00071459	0.010719	0.010719	0.021432	0.003573	0.003573	0.0032155	0.03573	0.0021432	0.00071459
1.07391	4.3381e+07	2.1642e+06	25238	6468.7	53642	2.4466	11432	935.91	11063	979.95	19276	12.229	5234.4	9.0145	95.03	19.551	2588.8	4.2204	63.068	5.8904	237.75	81.051	14409	187.75	457.05	4.3919	10.745	0.70287	1.7579	0.10543	1.0543	0.14057	0.70287	0.10543	0.35144	0.070287	0.17579	0.014057	0.070287	0.031628	0.0070287	0.02108	0.0070287	0.024596	0.0031628	0.070287	0.0049207	0.10543	0.02108	0.094883	0.0070287	0.070287	0.0070287	0.017579	0.0028112	0.014057	0.0035144	0.0014057	0.0070287	0.0010543	0.0070287	0.0014057	0.0035144	0.00070287	0.0031628	0.00070287	0.0028112	0.00031628	0.0035144	0.00070287	0.010543	0.010543	0.02108	0.0035144	0.0035144	0.0031628	0.035144	0.002108	0.00070287
1.08884	4.2807e+07	2.1285e+06	24823	6362.2	52759	2.4063	11244	920.49	10881	963.82	18959	12.027	5148.2	8.8661	93.465	19.229	2546.1	4.1509	62.029	5.7934	233.83	79.716	14172	184.66	449.53	4.3195	10.568	0.6913	1.7289	0.10369	1.0369	0.13826	0.6913	0.10369	0.34565	0.06913	0.17289	0.013826	0.06913	0.031107	0.006913	0.020733	0.006913	0.024191	0.0031107	0.06913	0.0048396	0.10369	0.020733	0.093321	0.006913	0.06913	0.006913	0.017289	0.0027649	0.013826	0.0034565	0.0013826	0.006913	0.0010369	0.006913	0.0013826	0.0034565	0.0006913	0.0031107	0.0006913	0.0027649	0.00031107	0.0034565	0.0006913	0.010369	0.010369	0.020733	0.0034565	0.0034565	0.0031107	0.034565	0.0020733	0.0006913
1.10397	4.2238e+07	2.0933e+06	24412	6257	51886	2.3665	11058	905.27	10701	947.88	18645	11.828	5063.1	8.7195	91.919	18.911	2504	4.0822	61.004	5.6976	229.97	78.398	13937	181.6	442.09	4.2481	10.393	0.67986	1.7004	0.10198	1.0198	0.13597	0.67986	0.10198	0.33993	0.067986	0.17004	0.013597	0.067986	0.030592	0.0067986	0.02039	0.0067986	0.023791	0.0030592	0.067986	0.0047596	0.10198	0.02039	0.091777	0.0067986	0.067986	0.0067986	0.017004	0.0027192	0.013597	0.0033993	0.0013597	0.0067986	0.0010198	0.0067986	0.0013597	0.0033993	0.00067986	0.0030592	0.00067986	0.0027192	0.00030592	0.0033993	0.00067986	0.010198	0.010198	0.02039	0.0033993	0.0033993	0.0030592	0.033993	0.002039	0.00067986
1.11931	4.1676e+07	2.0586e+06	24007	6153.1	51025	2.3272	10874	890.24	10523	932.14	18336	11.632	4979	8.5747	90.393	18.597	2462.5	4.0145	59.991	5.603	226.15	77.096	13706	178.59	434.75	4.1776	10.221	0.66857	1.6721	0.10029	1.0029	0.13371	0.66857	0.10029	0.33429	0.066857	0.16721	0.013371	0.066857	0.030085	0.0066857	0.020052	0.0066857	0.023396	0.0030084	0.066857	0.0046806	0.10029	0.020052	0.090253	0.0066857	0.066857	0.0066857	0.016721	0.002674	0.013371	0.0033429	0.0013371	0.0066857	0.0010029	0.0066857	0.0013371	0.0033429	0.00066857	0.0030084	0.00066857	0.002674	0.00030084	0.0033429	0.00066857	0.010029	0.010029	0.020052	0.0033429	0.0033429	0.0030084	0.033429	0.0020052	0.00066857
1.13487	4.1119e+07	2.0243e+06	23606	6050.5	50174	2.2884	10693	875.4	10348	916.6	18030	11.438	4896	8.4317	88.886	18.287	2421.4	3.9475	58.991	5.5096	222.38	75.81	13477	175.61	427.5	4.1079	10.05	0.65743	1.6442	0.098614	0.98614	0.13149	0.65743	0.098614	0.32871	0.065743	0.16442	0.013149	0.065743	0.029583	0.0065743	0.019717	0.0065743	0.023006	0.0029583	0.065743	0.0046025	0.098614	0.019717	0.088749	0.0065743	0.065743	0.0065743	0.016442	0.0026294	0.013149	0.0032871	0.0013149	0.0065743	0.00098614	0.0065743	0.0013149	0.0032871	0.00065743	0.0029583	0.00065743	0.0026294	0.00029583	0.0032871	0.00065743	0.0098614	0.0098614	0.019717	0.0032871	0.0032871	0.0029583	0.032871	0.0019717	0.00065743
