"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90	Z=92
1.0023	491150	45799	557.17	149.52	1254.7	0.05722	257.47	21.502	255.56	24.251	496.3	0.33289	145.58	0.26609	2.9386	0.58708	77.485	0.13238	2.0029	0.18905	7.532	2.6173	469.09	6.3102	15.431	0.15703	0.39636	0.026786	0.068375	0.0041647	0.04275	0.0057334	0.029358	0.0044477	0.015013	0.0030247	0.0076675	0.00061919	0.0031479	0.0014563	0.00032671	0.00099584	0.00033428	0.0011939	0.00015509	0.0035043	0.00024841	0.005455	0.0010878	0.0049773	0.00037096	0.003774	0.00037953	0.00095291	0.00015277	0.00077193	0.00019714	7.9242e-05	0.00040263	6.0716e-05	0.00040929	8.2477e-05	0.00020771	4.176e-05	0.00019004	4.2458e-05	0.0001716	1.9445e-05	0.00021776	4.3821e-05	0.0006646	0.00066843	0.0013466	0.00022562	0.00022779	0.00020702	0.0023175	0.00013964	4.9265e-05	2.9979e-05
1.01623	487980	45290	550.82	147.77	1240.5	0.056558	254.58	21.26	252.62	23.966	490.3	0.32892	143.85	0.26287	2.9025	0.57985	76.535	0.13075	1.9783	0.18674	7.439	2.5855	463.28	6.2351	15.248	0.15512	0.39128	0.026444	0.067501	0.0041116	0.042203	0.0056601	0.028986	0.0043913	0.014822	0.0029864	0.0075717	0.00061148	0.0031079	0.0014383	0.00032247	0.00098315	0.00033005	0.0011784	0.00015312	0.0034593	0.00024527	0.0053847	0.0010739	0.0049138	0.0003663	0.0037262	0.00037456	0.00094045	0.00015078	0.00076218	0.00019458	7.8213e-05	0.00039751	5.9944e-05	0.0004041	8.1433e-05	0.00020514	4.1219e-05	0.00018758	4.1925e-05	0.00016943	1.9199e-05	0.00021496	4.3261e-05	0.00065633	0.00065997	0.0013296	0.00022278	0.00022492	0.00020443	0.0022884	0.00013789	4.8661e-05	2.9604e-05
1.03036	484810	44783	544.52	146.04	1226.2	0.0559	251.7	21.012	249.7	23.684	484.35	0.32498	142.11	0.25963	2.8667	0.57268	75.593	0.12913	1.9538	0.18445	7.3467	2.5538	457.52	6.1604	15.065	0.15322	0.38628	0.026104	0.066634	0.0040589	0.041661	0.0055875	0.028615	0.0043354	0.014633	0.0029485	0.0074767	0.00060383	0.0030685	0.0014202	0.00031829	0.00097055	0.00032589	0.0011632	0.00015116	0.0034147	0.00024217	0.0053148	0.0010599	0.004851	0.00036171	0.0036775	0.00036964	0.0009281	0.00014879	0.00075254	0.00019203	7.7194e-05	0.00039243	5.9175e-05	0.00039895	8.0409e-05	0.00020247	4.0682e-05	0.00018519	4.1397e-05	0.00016731	1.895e-05	0.00021219	4.2714e-05	0.00064808	0.00065157	0.0013128	0.00021999	0.00022208	0.00020189	0.0022596	0.00013617	4.8051e-05	2.9229e-05
1.04467	481650	44280	538.25	144.31	1211.7	0.055246	248.84	20.766	246.8	23.404	478.44	0.32106	140.37	0.25641	2.831	0.56557	74.654	0.12753	1.9295	0.18216	7.2551	2.5222	451.81	6.0862	14.884	0.15132	0.38137	0.025768	0.065774	0.0040068	0.041123	0.0055155	0.028248	0.0042796	0.014446	0.0029114	0.0073825	0.00059609	0.0030297	0.0014016	0.00031416	0.00095815	0.00032177	0.0011481	0.00014922	0.0033709	0.00023911	0.005246	0.0010461	0.0047896	0.00035715	0.0036289	0.00036476	0.00091581	0.00014682	0.00074294	0.00018952	7.6184e-05	0.00038737	5.8414e-05	0.00039385	7.9403e-05	0.00019982	4.015e-05	0.00018285	4.087e-05	0.00016516	1.8704e-05	0.00020945	4.2177e-05	0.00063977	0.00064327	0.0012962	0.00021718	0.00021926	0.00019933	0.0022311	0.00013447	4.7449e-05	2.8851e-05
1.05919	478480	43779	532.03	142.6	1197.2	0.054596	246	20.521	243.92	23.125	472.58	0.31717	138.63	0.25321	2.7955	0.55851	73.72	0.12595	1.9054	0.17989	7.1643	2.4908	446.15	6.0102	14.702	0.14936	0.37645	0.025438	0.064921	0.0039553	0.04059	0.0054442	0.027884	0.0042243	0.01426	0.0028744	0.0072891	0.00058837	0.0029912	0.0013832	0.00031008	0.00094595	0.00031751	0.0011333	0.00014729	0.0033274	0.00023608	0.0051779	0.0010325	0.004729	0.00035258	0.0035807	0.00035992	0.00090359	0.0001449	0.00073344	0.00018702	7.5179e-05	0.00038237	5.766e-05	0.00038883	7.836e-05	0.00019719	3.9625e-05	0.00018052	4.0345e-05	0.000163	1.846e-05	0.00020679	4.1644e-05	0.00063157	0.00063503	0.0012797	0.0002144	0.00021649	0.00019679	0.0022032	0.0001328	4.6851e-05	2.8476e-05
1.07391	475320	43282	525.85	140.9	1182.8	0.05395	243.13	20.278	241.05	22.843	466.76	0.31332	136.91	0.25004	2.7603	0.55152	72.794	0.12437	1.8814	0.17764	7.0743	2.4596	440.53	5.9347	14.516	0.14741	0.37158	0.025112	0.064075	0.0039043	0.040062	0.0053735	0.027523	0.0041695	0.014079	0.0028377	0.0071963	0.00058071	0.0029531	0.001365	0.00030604	0.00093383	0.00031331	0.0011186	0.00014536	0.0032845	0.00023309	0.0051104	0.001019	0.0046688	0.00034801	0.003533	0.00035509	0.00089183	0.00014304	0.00072396	0.00018455	7.4198e-05	0.00037739	5.6914e-05	0.00038391	7.7324e-05	0.00019459	3.9104e-05	0.00017818	3.9832e-05	0.00016086	1.8219e-05	0.00020416	4.1113e-05	0.00062343	0.0006269	0.0012632	0.00021165	0.00021374	0.00019429	0.0021755	0.00013115	4.6252e-05	2.8108e-05
1.08884	472160	42788	519.7	139.22	1168.5	0.053309	240.23	20.036	238.21	22.561	460.98	0.30949	135.2	0.2469	2.7253	0.54457	71.877	0.12281	1.8577	0.1754	6.9852	2.4287	434.95	5.8601	14.333	0.14549	0.36675	0.024782	0.063236	0.0038528	0.039539	0.0053035	0.027163	0.0041152	0.013898	0.0028013	0.007102	0.00057316	0.0029153	0.001347	0.00030204	0.00092134	0.00030915	0.001104	0.00014344	0.0032422	0.00023006	0.0050437	0.0010057	0.0046081	0.00034347	0.0034855	0.00035039	0.00088031	0.00014119	0.00071447	0.0001821	7.323e-05	0.00037248	5.6174e-05	0.00037884	7.6296e-05	0.00019201	3.86e-05	0.00017587	3.9311e-05	0.00015874	1.7983e-05	0.00020155	4.0577e-05	0.00061537	0.00061884	0.0012469	0.00020893	0.00021098	0.00019182	0.0021483	0.00012946	4.5648e-05	2.7748e-05
1.10397	469010	42297	513.6	137.54	1154.3	0.052673	237.35	19.797	235.36	22.282	455.23	0.30564	133.51	0.24376	2.6908	0.53764	70.97	0.12125	1.8345	0.17319	6.898	2.3981	429.48	5.786	14.151	0.14361	0.36197	0.024455	0.062405	0.0038018	0.03902	0.0052342	0.026807	0.0040615	0.013718	0.0027653	0.0070086	0.00056572	0.002878	0.0013293	0.00029807	0.00090903	0.00030504	0.0010895	0.00014155	0.0032004	0.00022703	0.0049784	0.0009925	0.0045478	0.00033884	0.0034382	0.00034585	0.00086885	0.00013935	0.0007049	0.00017971	7.227e-05	0.00036761	5.5443e-05	0.00037378	7.5281e-05	0.0001895	3.8101e-05	0.00017362	3.8789e-05	0.00015664	1.7752e-05	0.00019894	4.0048e-05	0.00060745	0.00061077	0.0012307	0.00020625	0.00020826	0.00018939	0.0021207	0.00012777	4.5045e-05	2.7391e-05
1.11931	465850	41809	507.54	135.88	1140.2	0.05204	234.48	19.559	232.46	22.005	449.52	0.30178	131.82	0.24064	2.6566	0.53077	70.062	0.11971	1.8115	0.17099	6.8115	2.3677	424.06	5.7126	13.971	0.14173	0.35722	0.024131	0.061584	0.0037513	0.038506	0.0051653	0.026454	0.0040084	0.013541	0.0027296	0.006916	0.00055837	0.0028411	0.0013117	0.00029416	0.00089686	0.00030096	0.001075	0.00013968	0.0031591	0.00022399	0.0049139	0.00097963	0.0044875	0.00033425	0.0033929	0.00034132	0.00085749	0.00013753	0.0006954	0.00017734	7.1313e-05	0.00036278	5.473e-05	0.00036876	7.4272e-05	0.00018704	3.7602e-05	0.0001713	3.8271e-05	0.0001546	1.7522e-05	0.00019632	3.9524e-05	0.00059949	0.00060281	0.0012148	0.00020357	0.00020558	0.000187	0.0020929	0.00012609	4.4449e-05	2.7032e-05
1.13487	462700	41324	501.53	134.23	1126.2	0.051413	231.64	19.322	229.59	21.73	443.84	0.29795	130.15	0.23757	2.6225	0.52395	69.161	0.11819	1.7887	0.16881	6.7257	2.3378	418.68	5.6403	13.792	0.13987	0.3525	0.02381	0.060773	0.0037013	0.037998	0.0050969	0.026104	0.0039563	0.013365	0.0026938	0.0068248	0.00055109	0.0028045	0.0012943	0.00029032	0.00088479	0.00029695	0.0010606	0.00013783	0.0031181	0.00022098	0.00485	0.00096688	0.0044263	0.0003297	0.0033484	0.00033683	0.00084622	0.0001357	0.000686	0.00017499	7.0369e-05	0.00035805	5.4004e-05	0.0003638	7.3291e-05	0.00018459	3.7107e-05	0.000169	3.7759e-05	0.00015259	1.7295e-05	0.00019374	3.9005e-05	0.00059162	0.0005949	0.0011991	0.00020091	0.00020293	0.00018457	0.0020652	0.00012443	4.3865e-05	2.6679e-05
1.15064	459550	40842	495.55	132.59	1112.3	0.05079	228.82	19.088	226.75	21.457	438.21	0.29415	128.5	0.23453	2.5888	0.51722	68.266	0.11667	1.7658	0.1667	6.6399	2.3085	413.33	5.5691	13.617	0.13803	0.34778	0.023491	0.059966	0.0036517	0.037493	0.0050291	0.025758	0.0039044	0.01319	0.0026578	0.0067351	0.00054388	0.0027668	0.001277	0.00028648	0.00087283	0.00029299	0.0010464	0.00013601	0.0030765	0.00021802	0.0047858	0.00095425	0.0043657	0.00032519	0.0033041	0.00033239	0.00083487	0.00013387	0.00067669	0.00017265	6.9428e-05	0.00035339	5.3271e-05	0.00035888	7.2328e-05	0.00018214	3.6622e-05	0.00016673	3.7253e-05	0.0001506	1.7065e-05	0.00019118	3.8494e-05	0.00058382	0.00058713	0.0011833	0.00019828	0.00020033	0.00018212	0.002038	0.00012278	4.3292e-05	2.6337e-05
1.16663	456410	40363	489.62	130.96	1098.5	0.050171	226.02	18.855	223.92	21.186	432.62	0.29037	126.85	0.23152	2.5554	0.51054	67.38	0.11516	1.743	0.1646	6.5541	2.2794	408	5.4984	13.443	0.1362	0.3431	0.023175	0.05915	0.0036026	0.036991	0.0049619	0.025417	0.003853	0.013016	0.0026221	0.0066463	0.00053675	0.0027291	0.0012601	0.00028255	0.00086109	0.00028907	0.0010324	0.00013422	0.0030349	0.00021508	0.0047218	0.0009415	0.0043057	0.00032069	0.0032603	0.00032791	0.0008235	0.00013203	0.00066746	0.00017034	6.8501e-05	0.00034857	5.2545e-05	0.00035407	7.1371e-05	0.00017972	3.6131e-05	0.00016447	3.6759e-05	0.00014862	1.6837e-05	0.00018864	3.7982e-05	0.0005761	0.00057946	0.0011676	0.0001957	0.00019775	0.00017969	0.0020107	0.00012115	4.272e-05	2.5997e-05
1.18284	453270	39888	483.7	129.35	1084.8	0.049557	223.24	18.624	221.12	20.918	427.09	0.28663	125.22	0.22853	2.5222	0.50388	66.501	0.11367	1.7204	0.16251	6.4691	2.2506	402.64	5.4284	13.271	0.13439	0.33847	0.022863	0.058348	0.003554	0.036494	0.0048952	0.025081	0.003802	0.01284	0.0025868	0.0065583	0.00052971	0.0026918	0.0012434	0.00027868	0.0008495	0.00028518	0.0010185	0.00013244	0.0029934	0.00021218	0.0046581	0.00092885	0.0042462	0.00031624	0.0032167	0.00032345	0.00081217	0.00013022	0.00065833	0.00016804	6.7581e-05	0.00034379	5.1827e-05	0.00034937	7.0415e-05	0.00017735	3.5639e-05	0.00016226	3.6274e-05	0.00014662	1.6612e-05	0.00018615	3.7475e-05	0.00056853	0.00057173	0.0011523	0.00019314	0.00019511	0.00017729	0.0019839	0.00011954	4.2148e-05	2.5661e-05
1.19928	450130	39416	477.84	127.74	1071.3	0.048948	220.48	18.394	218.34	20.651	421.58	0.28291	123.61	0.22556	2.4893	0.49728	65.63	0.11218	1.698	0.16041	6.3848	2.2219	397.33	5.3588	13.1	0.13258	0.33391	0.022553	0.057554	0.0035058	0.036001	0.0048289	0.024747	0.0037516	0.012666	0.002552	0.0064711	0.00052274	0.002655	0.0012264	0.00027485	0.00083802	0.00028132	0.0010048	0.00013068	0.0029525	0.00020931	0.0045934	0.00091619	0.0041869	0.00031201	0.0031729	0.00031897	0.00080097	0.00012843	0.00064941	0.00016578	6.667e-05	0.00033906	5.1115e-05	0.0003447	6.9468e-05	0.00017492	3.5151e-05	0.0001601	3.5793e-05	0.00014465	1.6389e-05	0.00018364	3.6974e-05	0.00056096	0.0005641	0.0011371	0.00019063	0.00019248	0.0001749	0.0019573	0.00011794	4.1591e-05	2.5312e-05
1.21595	446990	38946	472.01	126.15	1057.8	0.048324	217.74	18.166	215.58	20.387	416.13	0.27923	122.01	0.22261	2.4567	0.49074	64.766	0.11071	1.6758	0.1583	6.3012	2.1928	392.08	5.2888	12.931	0.13077	0.32942	0.022247	0.056767	0.0034581	0.035511	0.0047632	0.024416	0.0037015	0.012494	0.0025178	0.0063852	0.00051579	0.0026186	0.0012094	0.00027106	0.00082663	0.00027745	0.00099132	0.00012894	0.0029121	0.0002065	0.0045292	0.00090338	0.0041287	0.0003078	0.0031289	0.00031455	0.00078987	0.00012665	0.00064058	0.00016353	6.5779e-05	0.00033438	5.0414e-05	0.00034003	6.8543e-05	0.00017251	3.4668e-05	0.00015796	3.5314e-05	0.00014269	1.617e-05	0.00018117	3.6477e-05	0.00055342	0.00055659	0.0011222	0.00018811	0.00018988	0.00017254	0.0019311	0.00011639	4.1048e-05	2.496e-05
1.23285	443860	38481	466.23	124.58	1044.4	0.047697	215.02	17.937	212.84	20.125	410.72	0.27558	120.42	0.21967	2.4244	0.48425	63.909	0.10925	1.6537	0.15621	6.2184	2.1637	386.87	5.2169	12.757	0.12897	0.32491	0.021945	0.055987	0.0034108	0.035025	0.0046981	0.024088	0.0036512	0.012324	0.0024839	0.0063001	0.0005086	0.0025827	0.0011926	0.0002673	0.00081532	0.00027362	0.00097799	0.00012717	0.0028721	0.00020373	0.0044657	0.00089069	0.0040729	0.00030362	0.0030852	0.00031017	0.00077889	0.00012488	0.00063181	0.00016131	6.4898e-05	0.00032974	4.9734e-05	0.00033541	6.7594e-05	0.00017013	3.4191e-05	0.00015585	3.4832e-05	0.00014076	1.5951e-05	0.00017872	3.599e-05	0.00054597	0.00054919	0.0011075	0.00018555	0.00018729	0.00017021	0.0019055	0.00011486	4.0507e-05	2.4612e-05
1.24998	440730	38018	460.48	123.01	1031.2	0.047076	212.32	17.703	210.12	19.865	405.35	0.27196	118.82	0.21676	2.3923	0.47782	63.055	0.10783	1.6319	0.15414	6.1362	2.135	381.71	5.1456	12.582	0.12719	0.32042	0.021643	0.055215	0.0033641	0.034544	0.0046337	0.023763	0.0036008	0.012157	0.0024504	0.0062159	0.00050148	0.0025471	0.001176	0.00026362	0.00080398	0.00026983	0.00096482	0.0001254	0.0028326	0.00020098	0.0044027	0.00087814	0.0040173	0.00029949	0.003042	0.00030583	0.00076798	0.00012316	0.0006231	0.00015914	6.399e-05	0.00032523	4.906e-05	0.00033092	6.6654e-05	0.00016777	3.3726e-05	0.00015372	3.4356e-05	0.00013885	1.5733e-05	0.00017629	3.5503e-05	0.00053867	0.0005419	0.0010924	0.00018301	0.00018474	0.0001679	0.0018802	0.00011334	3.9967e-05	2.427e-05
