"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	3.947e+08
1.01166	3.947e+08
1.02346	3.947e+08
1.0354	3.947e+08
1.04748	3.947e+08
1.0597	3.947e+08
1.07206	3.947e+08
1.08456	3.947e+08
1.09721	3.947e+08
1.11001	3.947e+08
1.12296	3.947e+08
1.13606	3.947e+08
1.14931	3.947e+08
1.16271	3.947e+08
1.17628	3.947e+08
1.19	3.947e+08
1.20388	3.947e+08
1.21792	3.947e+08
1.23212	3.947e+08
1.2465	3.947e+08
1.26103	3.947e+08
1.27574	3.947e+08
1.29062	3.947e+08
1.30568	3.947e+08
1.32091	3.947e+08
1.33632	3.947e+08
1.3519	3.947e+08
1.36767	3.947e+08
1.38362	3.947e+08
1.39976	3.947e+08
1.41609	3.947e+08
1.43261	3.947e+08
1.44932	3.947e+08
1.46622	3.947e+08
1.48332	3.947e+08
1.50063	3.947e+08
1.51813	3.947e+08
1.53584	3.947e+08
1.55375	3.947e+08
1.57187	3.947e+08
1.59021	3.947e+08
1.60876	3.947e+08
1.62752	3.947e+08
1.64651	3.947e+08
1.66571	3.947e+08
1.68514	3.947e+08
1.7048	3.947e+08
1.72468	3.947e+08
1.7448	3.947e+08
1.76515	3.947e+08
1.78574	3.9469e+08
1.80657	3.9469e+08
1.82764	3.9469e+08
1.84896	3.9469e+08
1.87052	3.9469e+08
1.89234	3.9469e+08
1.91441	3.9469e+08
1.93674	3.9468e+08
1.95933	3.9468e+08
1.98219	3.9468e+08
2.00531	3.9468e+08
2.0287	3.9467e+08
2.05236	3.9467e+08
2.0763	3.9467e+08
2.10052	3.9466e+08
2.12502	3.9466e+08
2.14981	3.9466e+08
2.17488	3.9465e+08
2.20025	3.9465e+08
2.22592	3.9464e+08
2.25188	3.9463e+08
2.27814	3.9463e+08
2.30472	3.9462e+08
2.3316	3.9461e+08
2.3588	3.9461e+08
2.38631	3.946e+08
2.41414	3.9459e+08
2.4423	3.9458e+08
2.47079	3.9457e+08
2.49961	3.9456e+08
2.52877	3.9455e+08
2.55826	3.9454e+08
2.5881	3.9453e+08
2.61829	3.9452e+08
2.64883	3.945e+08
2.67973	3.9449e+08
2.71098	3.9448e+08
2.7426	3.9446e+08
2.77459	3.9445e+08
2.80696	3.9443e+08
2.8397	3.9441e+08
2.87282	3.944e+08
2.90633	3.9438e+08
2.94023	3.9436e+08
2.97452	3.9434e+08
3.00922	3.9432e+08
3.04432	3.943e+08
3.07983	3.9427e+08
3.11575	3.9425e+08
3.15209	3.9422e+08
3.18886	3.9419e+08
3.22606	3.9417e+08
3.26369	3.9414e+08
3.30175	3.9411e+08
3.34027	3.9408e+08
3.37923	3.9404e+08
3.41864	3.9401e+08
3.45852	3.9397e+08
3.49886	3.9394e+08
3.53967	3.939e+08
3.58096	3.9385e+08
3.62273	3.9381e+08
3.66498	3.9377e+08
3.70773	3.9372e+08
3.75098	3.9367e+08
3.79473	3.9362e+08
3.83899	3.9357e+08
3.88377	3.9351e+08
3.92907	3.9346e+08
3.9749	3.934e+08
4.02127	3.9333e+08
4.06817	3.9327e+08
4.11562	3.9321e+08
4.16363	3.9313e+08
4.21219	3.9306e+08
4.26132	3.9298e+08
4.31103	3.9291e+08
4.36131	3.9282e+08
4.41218	3.9273e+08
4.46365	3.9265e+08
4.51571	3.9256e+08
4.56838	3.9247e+08
4.62167	3.9236e+08
4.67558	3.9225e+08
4.73012	3.9215e+08
4.78529	3.9204e+08
4.8411	3.9193e+08
4.89757	3.918e+08
4.9547	3.9167e+08
5.01249	3.9155e+08
5.07096	3.9142e+08
5.1301	3.9128e+08
5.18994	3.9112e+08
5.25048	3.9097e+08
5.31172	3.9082e+08
5.37368	3.9066e+08
5.43636	3.905e+08
5.49977	3.9033e+08
5.56392	3.9013e+08
5.62882	3.8995e+08
5.69447	3.8976e+08
5.76089	3.8957e+08
5.82809	3.8937e+08
5.89607	3.8916e+08
5.96484	3.8892e+08
6.03442	3.8869e+08
6.1048	3.8846e+08
6.17601	3.8822e+08
6.24805	3.8797e+08
6.32093	3.8772e+08
6.39465	3.8745e+08
6.46924	3.8716e+08
6.5447	3.8687e+08
6.62104	3.8658e+08
6.69827	3.8627e+08
6.7764	3.8596e+08
6.85544	3.8564e+08
6.9354	3.8531e+08
7.0163	3.8497e+08
7.09813	3.8459e+08
7.18093	3.8421e+08
7.26469	3.8384e+08
7.34942	3.8345e+08
7.43515	3.8305e+08
7.52187	3.8264e+08
7.60961	3.8221e+08
7.69837	3.8178e+08
7.78816	3.8133e+08
7.87901	3.8084e+08
7.97091	3.8035e+08
8.06388	3.7985e+08
8.15794	3.7935e+08
8.2531	3.7883e+08
8.34936	3.7829e+08
8.44675	3.7774e+08
8.54527	3.7718e+08
8.64495	3.766e+08
8.74578	3.76e+08
8.84779	3.7537e+08
8.951	3.7471e+08
9.0554	3.7406e+08
9.16102	3.7339e+08
9.26788	3.7271e+08
9.37598	3.7201e+08
9.48534	3.7129e+08
9.59598	3.7055e+08
9.70791	3.6979e+08
9.82115	3.6902e+08
9.9357	3.6822e+08
10.0516	3.674e+08
10.1688	3.6652e+08
10.2874	3.6565e+08
10.4074	3.6478e+08
10.5288	3.6387e+08
10.6516	3.6296e+08
10.7759	3.6201e+08
10.9016	3.6105e+08
11.0287	3.6007e+08
11.1574	3.5906e+08
11.2875	3.5803e+08
11.4192	3.5697e+08
11.5524	3.5589e+08
11.6871	3.5478e+08
11.8234	3.5359e+08
11.9614	3.5244e+08
12.1009	3.5127e+08
12.242	3.5006e+08
12.3848	3.4884e+08
12.5293	3.4759e+08
12.6754	3.4632e+08
12.8233	3.4501e+08
12.9728	3.4369e+08
13.1241	3.4234e+08
13.2772	3.4097e+08
13.4321	3.3956e+08
13.5888	3.3813e+08
13.7473	3.3663e+08
13.9076	3.351e+08
14.0698	3.3359e+08
14.234	3.3205e+08
14.4	3.3048e+08
14.5679	3.289e+08
14.7379	3.2727e+08
14.9098	3.2563e+08
15.0837	3.2397e+08
15.2596	3.2227e+08
15.4376	3.2054e+08
15.6177	3.188e+08
15.7998	3.1702e+08
15.9841	3.1521e+08
16.1706	3.1338e+08
16.3592	3.1142e+08
16.55	3.0954e+08
16.7431	3.0763e+08
16.9383	3.057e+08
17.1359	3.0374e+08
17.3358	3.0176e+08
17.538	2.9975e+08
17.7426	2.9772e+08
17.9495	2.9566e+08
18.1589	2.9358e+08
18.3707	2.9148e+08
18.585	2.8935e+08
18.8017	2.8721e+08
19.0211	2.8504e+08
19.2429	2.8282e+08
19.4674	2.8051e+08
19.6944	2.7828e+08
19.9242	2.7603e+08
20.1566	2.7375e+08
20.3917	2.7147e+08
20.6295	2.6915e+08
20.8701	2.6682e+08
21.1136	2.6448e+08
21.3598	2.6212e+08
21.609	2.5974e+08
21.861	2.5734e+08
22.116	2.5493e+08
22.374	2.5251e+08
22.635	2.5007e+08
22.899	2.4762e+08
23.1661	2.4504e+08
23.4363	2.4253e+08
23.7097	2.4004e+08
23.9862	2.3754e+08
24.266	2.3503e+08
24.549	2.3251e+08
24.8354	2.2999e+08
25.1251	2.2745e+08
25.4181	2.2491e+08
25.7146	2.2236e+08
26.0145	2.198e+08
26.318	2.1725e+08
26.625	2.1469e+08
26.9355	2.1213e+08
27.2497	2.0954e+08
27.5675	2.0683e+08
27.8891	2.0426e+08
28.2144	2.0169e+08
28.5435	1.9912e+08
28.8764	1.9655e+08
29.2132	1.9398e+08
29.554	1.9142e+08
29.8987	1.8887e+08
30.2474	1.8631e+08
30.6003	1.8377e+08
30.9572	1.8123e+08
31.3183	1.787e+08
31.6836	1.7618e+08
32.0531	1.735e+08
32.427	1.7098e+08
32.8052	1.6848e+08
33.1879	1.66e+08
33.575	1.6353e+08
33.9666	1.6107e+08
34.3628	1.5862e+08
34.7636	1.5619e+08
35.1691	1.5377e+08
35.5793	1.5137e+08
35.9943	1.4898e+08
36.4142	1.4658e+08
36.8389	1.4408e+08
37.2686	1.4175e+08
37.7033	1.3943e+08
38.1431	1.3713e+08
38.588	1.3485e+08
39.0381	1.326e+08
39.4934	1.3035e+08
39.9541	1.2814e+08
40.4201	1.2594e+08
40.8916	1.2376e+08
41.3686	1.2148e+08
41.8511	1.193e+08
42.3392	1.1719e+08
42.8331	1.1511e+08
43.3327	1.1304e+08
43.8381	1.1101e+08
44.3495	1.0899e+08
44.8668	1.07e+08
45.3901	1.0503e+08
45.9195	1.0306e+08
46.4552	1.01e+08
46.997	9.9111e+07
47.5452	9.7244e+07
48.0998	9.5403e+07
48.6608	9.3585e+07
49.2284	9.1795e+07
49.8026	9.0028e+07
50.3835	8.8286e+07
50.9712	8.6501e+07
51.5657	8.4716e+07
52.1672	8.3055e+07
52.7757	8.1416e+07
53.3913	7.9805e+07
54.014	7.8217e+07
54.6441	7.6654e+07
55.2814	7.5115e+07
55.9262	7.3546e+07
56.5786	7.1963e+07
57.2385	7.0502e+07
57.9062	6.9065e+07
58.5816	6.7652e+07
59.2649	6.6262e+07
59.9562	6.4897e+07
60.6555	6.3554e+07
61.363	6.211e+07
62.0787	6.0804e+07
62.8028	5.9532e+07
63.5354	5.8284e+07
64.2765	5.7059e+07
65.0262	5.5855e+07
65.7847	5.4674e+07
66.552	5.3404e+07
67.3283	5.2266e+07
68.1136	5.1155e+07
68.9081	5.0063e+07
69.7118	4.8993e+07
70.5249	4.7942e+07
71.3476	4.6864e+07
72.1798	4.5785e+07
73.0217	4.4799e+07
73.8734	4.383e+07
74.7351	4.2883e+07
75.6068	4.1952e+07
76.4887	4.1007e+07
77.3809	4.0037e+07
78.2835	3.9162e+07
79.1966	3.8307e+07
80.1203	3.7469e+07
81.0549	3.6646e+07
82.0003	3.5789e+07
82.9568	3.4953e+07
83.9244	3.4182e+07
84.9033	3.3426e+07
85.8936	3.2688e+07
86.8955	3.196e+07
87.909	3.1162e+07
88.9344	3.0469e+07
89.9718	2.9792e+07
91.0212	2.9128e+07
92.0829	2.8476e+07
93.157	2.7764e+07
94.2436	2.7132e+07
95.3428	2.6523e+07
96.4549	2.5928e+07
97.58	2.5345e+07
98.7182	2.4698e+07
99.8696	2.4139e+07
101.035	2.3591e+07
102.213	2.3057e+07
103.405	2.2512e+07
104.611	2.1949e+07
105.832	2.1452e+07
107.066	2.0962e+07
108.315	2.0482e+07
109.578	1.9958e+07
110.856	1.9491e+07
112.149	1.9042e+07
113.458	1.8603e+07
114.781	1.8142e+07
116.12	1.7691e+07
117.474	1.7283e+07
118.844	1.6881e+07
120.231	1.6463e+07
121.633	1.6049e+07
123.052	1.5675e+07
124.487	1.5309e+07
125.939	1.4917e+07
127.408	1.4544e+07
128.894	1.4199e+07
130.398	1.3865e+07
131.919	1.3497e+07
133.457	1.3165e+07
135.014	1.2853e+07
136.589	1.2535e+07
138.182	1.22e+07
139.794	1.1909e+07
141.424	1.1625e+07
143.074	1.131e+07
144.743	1.1031e+07
146.431	1.0767e+07
148.139	1.0487e+07
149.867	1.0213e+07
151.615	9.9664e+06
153.384	9.7153e+06
155.173	9.4517e+06
156.983	9.2222e+06
158.814	8.99e+06
160.666	8.7407e+06
162.54	8.5273e+06
164.436	8.3114e+06
166.354	8.0809e+06
168.294	7.8828e+06
170.257	7.6776e+06
172.243	7.4674e+06
174.252	7.2834e+06
176.285	7.0642e+06
178.341	6.8746e+06
180.421	6.6777e+06
182.526	6.5051e+06
184.655	6.3254e+06
186.809	6.1518e+06
188.987	5.9896e+06
191.192	5.8176e+06
193.422	5.6686e+06
195.678	5.5006e+06
197.96	5.3614e+06
200.27	5.2002e+06
202.605	5.0676e+06
204.969	4.9161e+06
207.359	4.7886e+06
209.778	4.645e+06
212.225	4.5226e+06
214.7	4.3848e+06
217.205	4.2705e+06
219.738	4.1393e+06
222.301	4.0301e+06
224.894	3.9079e+06
227.517	3.8015e+06
230.171	3.6886e+06
232.856	3.584e+06
235.572	3.4806e+06
238.32	3.3777e+06
241.1	3.2817e+06
243.912	3.1801e+06
246.757	3.092e+06
249.635	2.9974e+06
252.547	2.9108e+06
255.493	2.8258e+06
258.473	2.7391e+06
261.488	2.6615e+06
264.538	2.5782e+06
267.623	2.5015e+06
270.745	2.4272e+06
273.903	2.3512e+06
277.098	2.2831e+06
280.33	2.2121e+06
283.6	2.1449e+06
286.907	2.0821e+06
290.254	2.0146e+06
293.64	1.9538e+06
297.065	1.8938e+06
300.53	1.8329e+06
304.035	1.778e+06
307.581	1.7222e+06
311.169	1.6673e+06
314.799	1.6167e+06
318.47	1.5642e+06
322.185	1.5134e+06
325.943	1.4668e+06
329.745	1.4183e+06
333.591	1.3731e+06
337.482	1.3299e+06
341.419	1.2852e+06
345.401	1.2429e+06
349.43	1.2024e+06
353.506	1.1614e+06
357.629	1.1228e+06
361.8	1.086e+06
366.02	1.0487e+06
370.29	1.0118e+06
374.609	976880
378.978	943460
383.399	908740
387.871	876920
392.395	845770
396.972	814280
401.602	782900
406.287	753610
411.026	725060
415.82	696990
420.67	668810
425.577	641290
430.541	614740
435.563	588660
440.643	562990
445.783	537000
450.983	512000
456.243	487650
461.565	463710
466.948	439720
472.395	414800
477.905	391710
483.479	367880
489.119	344230
494.824	319520
500.596	294900
506.435	269720
512.342	242880
518.318	225440
524.363	220300
530.48	215280
536.667	210100
542.927	204760
549.26	200100
555.666	195550
562.148	190450
568.705	185980
575.338	181760
582.049	177270
588.838	172870
595.706	168950
602.655	164880
609.684	160680
616.796	157050
623.99	153270
631.269	149360
638.632	145990
646.081	142380
653.617	138850
661.241	135730
668.953	132190
676.756	129090
684.65	126080
692.636	122770
700.715	120030
708.888	116740
717.157	113970
725.522	111050
733.984	108390
742.546	105760
751.207	103080
759.969	100680
768.833	98034
777.801	95796
786.873	93236
796.052	91115
805.337	88673
814.73	86628
824.234	84331
833.848	82326
843.574	80200
853.413	78208
863.368	76274
873.438	74270
883.626	72500
893.933	70543
904.36	68800
914.908	67087
925.58	65268
936.376	63654
947.298	62039
958.347	60342
969.526	58812
980.834	57308
992.275	55760
1003.85	54277
1015.56	52863
1027.4	51469
1039.39	50102
1051.51	48705
1063.78	47392
1076.18	46112
1088.74	44852
1101.44	43619
1114.28	42410
1127.28	41224
1140.43	40055
1153.73	38920
1167.19	37807
1180.8	36715
1194.58	35649
1208.51	34601
1222.61	33580
1236.87	32579
1251.29	31563
1265.89	30605
1280.65	29665
1295.59	28721
1310.7	27797
1325.99	26900
1341.46	25984
1357.11	25118
1372.94	24247
1388.95	23377
1405.15	22527
1421.54	21677
1438.12	20822
1454.9	19966
1471.87	19092
1489.03	18205
1506.4	17270
1523.97	16260
1541.75	15025
1559.73	12275
1577.92	11585
1596.33	11455
1614.95	11324
1633.79	11193
1652.84	11059
1672.12	10931
1691.63	10800
1711.36	10669
1731.32	10540
1751.51	10410
1771.94	10284
1792.61	10159
1813.52	10035
1834.67	9907.2
1856.07	9784
1877.72	9656
1899.63	9534.9
1921.78	9409.6
1944.2	9289.2
1966.88	9170.9
1989.82	9052.8
2013.03	8932.2
2036.51	8809.5
2060.26	8693.3
2084.29	8576.3
2108.6	8462
2133.2	8349.4
2158.08	8235.2
2183.25	8119.9
2208.72	8006.8
2234.48	7896.5
2260.55	7786.4
2286.91	7679.8
2313.59	7571.7
2340.57	7460
2367.87	7354.7
2395.49	7249.4
2423.44	7148.4
2451.7	7045.2
2480.3	6937.6
2509.23	6837.7
2538.5	6738.3
2568.11	6641.7
2598.06	6539.5
2628.37	6443.1
2659.02	6345.9
2690.04	6254.7
2721.42	6155.9
2753.16	6062.9
2785.27	5971.2
2817.76	5883.2
2850.63	5787.9
2883.88	5701.2
2917.52	5613.8
2951.55	5525
2985.97	5438
3020.8	5354.3
3056.04	5271.4
3091.68	5184.8
3127.74	5104.3
3164.23	5023.7
3201.14	4942.3
3238.47	4865.1
3276.25	4785.5
3314.46	4707
3353.12	4633.5
3392.23	4554.6
3431.8	4482.3
3471.83	4408.4
3512.33	4335.8
3553.29	4267
3594.74	4192.4
3636.67	4124.7
3679.09	4053.8
3722	3988.5
3765.42	3919.8
3809.34	3854.8
3853.77	3788.8
3898.72	3725.4
3944.2	3660.4
3990.2	3599.1
4036.74	3535
4083.83	3476.1
4131.46	3414.6
4179.65	3356.5
4228.4	3297
4277.73	3237.5
4327.62	3180.4
4378.1	3122.9
4429.17	3065.8
4480.83	3010.2
4533.09	2953.5
4585.97	2898.4
4639.46	2844.3
4693.58	2790.6
4748.32	2736.6
4803.71	2681.8
4859.74	2628.7
4916.42	2575.5
4973.77	2520.5
5031.78	2461.4
5090.47	2392
5149.85	2344.6
5209.92	2304.4
5270.69	2264
5332.17	2223.4
5394.36	2184.5
5457.28	2146.2
5520.94	2106.5
5585.33	2069.3
5650.48	2030.7
5716.39	1992.4
5783.07	1954.9
5850.52	1918
5918.76	1880.2
5987.8	1842.5
6057.64	1806.4
6128.3	1767
6199.78	1727.6
6272.1	1694.3
6345.25	1660.1
6419.27	1627.6
6494.14	1594.2
6569.89	1561.7
6646.52	1529.1
6724.05	1495
6802.48	1460.7
6881.82	1425.7
6962.09	1390.7
7043.3	1353.3
7125.45	1313.7
7208.57	1267.5
7292.65	1203
7377.71	1173.6
7463.77	1154.9
7550.82	1136.1
7638.9	1117
7728	1098.4
7818.14	1080.4
7909.33	1062
8001.59	1044.1
8094.92	1026
8189.34	1007.6
8284.86	990.19
8381.5	972.37
8479.26	955.07
8578.16	938
8678.22	920.26
8779.44	902.64
8881.85	885.65
8985.45	868.45
9090.26	851.12
9196.29	833.79
9303.55	815.29
9412.07	797
9521.85	776.72
9632.92	756.81
9745.28	742.36
9858.95	727.81
9973.94	714.01
10090.3	700.16
10208	686.39
10327	671.93
10447.5	658.24
10569.4	644.6
10692.6	630.56
10817.4	616.28
10943.5	603.14
11071.2	590.13
11200.3	576.03
11331	562.73
11463.1	549.51
11596.8	535.48
11732.1	520.89
11868.9	504.42
12007.4	490.24
12147.4	479.17
12289.1	468.62
12432.5	457.07
12577.5	446.43
12724.2	435.57
12872.6	424.23
13022.8	413.53
13174.7	401.66
13328.3	391.3
13483.8	380.1
13641.1	369.47
13800.2	358.16
13961.2	346.61
14124	333.64
14288.7	317.51
14455.4	309.91
14624	302.62
14794.6	295.43
14967.2	288.42
15141.7	281.16
15318.4	274.46
15497	267.01
15677.8	260.38
15860.7	253.35
16045.7	246.35
16232.8	239.6
16422.2	232.12
16613.7	224.31
16807.5	218.39
17003.5	212.53
17201.9	206.8
17402.5	201.32
17605.5	195.86
17810.9	190.3
18018.6	184.81
18228.8	179.53
18441.4	174.28
18656.5	169.08
18874.1	163.9
19094.3	158.81
19317	153.78
19542.3	148.79
19770.2	143.87
20000.8	138.99
20234.1	134.16
20470.1	129.36
20708.9	124.59
20950.5	119.79
21194.8	114.74
21442.1	110.09
21692.2	105.97
21945.2	101.9
22201.2	97.707
22460.1	93.78
22722.1	89.638
22987.1	85.734
23255.2	81.781
23526.5	77.766
23800.9	73.888
24078.5	70.026
24359.4	66.163
24643.5	62.266
24931	58.362
25221.8	54.46
25516	50.47
25813.6	46.311
26114.7	42.21
26419.3	38.077
26727.4	33.69
27039.2	28.989
27354.6	23.909
27673.6	17.883
27996.4	7.4146
28323	1.5137
28653.3	1.3246
28987.6	1.0986
29325.7	0.81971
29667.7	0.66636
30013.8	0.47409
30363.9	0.15163
30718	0.069942
31076.3	0.063533
31438.8	0.055529
31805.5	0.04905
32176.5	0.043032
32551.8	0.033875
32931.5	0.028479
33315.6	0.026766
33704.2	0.024779
34097.4	0.022992
34495.1	0.021263
34897.4	0.018934
35304.5	0.017613
35716.3	0.016664
36132.9	0.015626
36554.3	0.014592
36980.7	0.01331
37412.1	0.012018
37848.4	0.011401
38289.9	0.010709
38736.5	0.010044
39188.3	0.009285
39645.4	0.0083905
40107.9	0.0080158
40575.7	0.0075967
41049	0.0072091
41527.8	0.0067634
42012.2	0.0063309
42502.2	0.006091
42998	0.0058222
43499.5	0.0055865
44006.9	0.0052998
44520.2	0.0051011
45039.5	0.004934
45564.8	0.0047663
46096.3	0.0045849
46634	0.0044128
47177.9	0.0042728
47728.2	0.0041299
48284.9	0.0039801
48848.1	0.0038274
49417.9	0.0036903
49994.3	0.0035507
50577.4	0.0034099
51167.4	0.0032657
51764.2	0.0031313
52368	0.0029922
52978.8	0.0028481
53596.8	0.0027054
54221.9	0.002567
54854.4	0.0024187
55494.2	0.002245
56141.5	0.0021085
56796.3	0.0019711
57458.8	0.0018049
58129	0.0016451
58807.1	0.0015346
59493	0.0014196
60186.9	0.0012803
60889	0.0012057
61599.2	0.0011304
62317.7	0.0010333
63044.6	0.0009782
63779.9	0.0009351
64523.9	0.00089064
65276.5	0.00085362
66037.9	0.00081927
66808.1	0.00078201
67587.4	0.00075103
68375.7	0.00072314
69173.3	0.00069311
69980.1	0.0006641
70796.4	0.0006345
71622.2	0.00060276
72457.6	0.00057508
73302.7	0.00054634
74157.8	0.00051721
75022.7	0.00049132
75897.8	0.000465
76783.1	0.00043964
77678.7	0.00041442
78584.8	0.00038806
79501.4	0.00036306
80428.7	0.00033675
81366.8	0.00031067
82315.9	0.00028366
83276.1	0.00025471
84247.4	0.00022513
