"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	1423.2
1.01166	1423.2
1.02346	1423.2
1.0354	1423.2
1.04748	1423.2
1.0597	1423.2
1.07206	1423.2
1.08456	1423.2
1.09721	1423.2
1.11001	1423.2
1.12296	1423.2
1.13606	1423.2
1.14931	1423.2
1.16271	1423.2
1.17628	1423.2
1.19	1423.2
1.20388	1423.2
1.21792	1423.2
1.23212	1423.2
1.2465	1423.2
1.26103	1423.2
1.27574	1423.2
1.29062	1423.2
1.30568	1423.2
1.32091	1423.2
1.33632	1423.2
1.3519	1423.2
1.36767	1423.2
1.38362	1423.2
1.39976	1423.2
1.41609	1423.2
1.43261	1423.2
1.44932	1423.2
1.46622	1423.2
1.48332	1423.2
1.50063	1423.2
1.51813	1423.2
1.53584	1423.2
1.55375	1423.2
1.57187	1423.2
1.59021	1423.2
1.60876	1423.2
1.62752	1423.2
1.64651	1420.8
1.66571	1169.3
1.68514	986.04
1.7048	870.05
1.72468	781.08
1.7448	708.79
1.76515	648.19
1.78574	596.57
1.80657	552.19
1.82764	513.63
1.84896	479.75
1.87052	450.31
1.89234	424.31
1.91441	400.87
1.93674	380.28
1.95933	362.14
1.98219	345.97
2.00531	331.89
2.0287	319.43
2.05236	308.05
2.0763	298.29
2.10052	289.34
2.12502	281.37
2.14981	274.29
2.17488	267.87
2.20025	262.04
2.22592	257.06
2.25188	252.81
2.27814	248.81
2.30472	245.03
2.3316	241.45
2.3588	238.02
2.38631	234.83
2.41414	231.82
2.4423	228.98
2.47079	226.3
2.49961	223.69
2.52877	221.17
2.55826	218.9
2.5881	216.77
2.61829	214.51
2.64883	212.58
2.67973	210.73
2.71098	208.78
2.7426	207.16
2.77459	205.44
2.80696	203.88
2.8397	202.4
2.87282	200.91
2.90633	199.6
2.94023	198.21
2.97452	197.03
3.00922	195.75
3.04432	194.66
3.07983	193.52
3.11575	192.48
3.15209	191.49
3.18886	190.48
3.22606	189.63
3.26369	188.64
3.30175	187.85
3.34027	187.03
3.37923	186.22
3.41864	185.52
3.45852	184.74
3.49886	184.07
3.53967	183.45
3.58096	182.74
3.62273	182.16
3.66498	181.61
3.70773	180.99
3.75098	180.47
3.79473	179.97
3.83899	179.44
3.88377	178.96
3.92907	178.52
3.9749	178.07
4.02127	177.58
4.06817	177.16
4.11562	176.76
4.16363	176.35
4.21219	175.94
4.26132	175.59
4.31103	175.24
4.36131	174.89
4.41218	174.54
4.46365	174.23
4.51571	173.93
4.56838	173.65
4.62167	173.33
4.67558	173.06
4.73012	172.81
4.78529	172.56
4.8411	172.32
4.89757	172.06
4.9547	171.84
5.01249	171.63
5.07096	171.42
5.1301	171.22
5.18994	171.01
5.25048	170.82
5.31172	170.65
5.37368	170.48
5.43636	170.31
5.49977	170.15
5.56392	169.98
5.62882	169.83
5.69447	169.69
5.76089	169.55
5.82809	169.42
5.89607	169.29
5.96484	169.16
6.03442	169.04
6.1048	168.92
6.17601	168.81
6.24805	168.71
6.32093	168.61
6.39465	168.51
6.46924	168.41
6.5447	168.31
6.62104	161.65
6.69827	135.03
6.7764	120.64
6.85544	110.38
6.9354	102.21
7.0163	95.403
7.09813	89.539
7.18093	84.47
7.26469	79.996
7.34942	76.003
7.43515	72.412
7.52187	69.196
7.60961	66.201
7.69837	63.447
7.78816	60.942
7.87901	58.655
7.97091	56.513
8.06388	54.584
8.15794	52.813
8.2531	51.116
8.34936	49.59
8.44675	48.156
8.54527	46.768
8.64495	45.5
8.74578	44.299
8.84779	43.167
8.951	42.124
9.0554	41.135
9.16102	40.19
9.26788	39.287
9.37598	38.424
9.48534	37.601
9.59598	36.815
9.70791	36.064
9.82115	35.348
9.9357	34.626
10.0516	33.96
10.1688	33.331
10.2874	32.728
10.4074	32.097
10.5288	31.549
10.6516	31.016
10.7759	30.451
10.9016	29.973
11.0287	29.473
11.1574	29
11.2875	28.563
11.4192	28.102
11.5524	27.711
11.6871	27.271
11.8234	26.914
11.9614	26.5
12.1009	26.167
12.242	25.787
12.3848	25.471
12.5293	25.129
12.6754	24.818
12.8233	24.518
12.9728	24.207
13.1241	23.944
13.2772	23.643
13.4321	23.391
13.5888	23.139
13.7473	22.871
13.9076	22.647
14.0698	22.408
14.234	22.176
14.4	21.971
14.5679	21.753
14.7379	21.544
14.9098	21.328
15.0837	21.014
15.2596	20.753
15.4376	20.537
15.6177	20.335
15.7998	20.117
15.9841	19.936
16.1706	19.763
16.3592	19.588
16.55	19.413
16.7431	19.26
16.9383	19.112
17.1359	18.961
17.3358	18.812
17.538	18.677
17.7426	18.546
17.9495	18.416
18.1589	18.279
18.3707	18.161
18.585	18.047
18.8017	17.936
19.0211	17.821
19.2429	17.711
19.4674	17.61
19.6944	17.513
19.9242	17.419
20.1566	17.322
20.3917	17.228
20.6295	17.142
20.8701	17.059
21.1136	16.979
21.3598	16.9
21.609	16.817
21.861	16.742
22.116	16.671
22.374	16.602
22.635	16.535
22.899	16.47
23.1661	16.401
23.4363	16.338
23.7097	16.279
23.9862	16.221
24.266	16.165
24.549	16.111
24.8354	16.058
25.1251	16.002
25.4181	15.953
25.7146	15.904
26.0145	15.858
26.318	15.813
26.625	15.728
