"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	3926.4
1.01166	3926.4
1.02346	3926.4
1.0354	3926.4
1.04748	3926.4
1.0597	3926.4
1.07206	3926.4
1.08456	3926.4
1.09721	3926.4
1.11001	3926.4
1.12296	3926.4
1.13606	3926.4
1.14931	3926.4
1.16271	3926.4
1.17628	3926.4
1.19	3926.4
1.20388	3926.4
1.21792	3926.4
1.23212	3926.4
1.2465	3926.4
1.26103	3926.4
1.27574	3926.4
1.29062	3926.4
1.30568	3926.4
1.32091	3926.4
1.33632	3926.4
1.3519	3926.4
1.36767	3926.4
1.38362	3926.4
1.39976	3926.4
1.41609	3926.4
1.43261	3926.4
1.44932	3926.4
1.46622	3926.4
1.48332	3926.4
1.50063	3926.4
1.51813	3926.4
1.53584	3926.4
1.55375	3926.4
1.57187	3926.4
1.59021	3926.4
1.60876	3926.4
1.62752	3926.4
1.64651	3921.5
1.66571	3417.3
1.68514	3047.2
1.7048	2810.9
1.72468	2627.6
1.7448	2476.1
1.76515	2346.5
1.78574	2233.3
1.80657	2133.6
1.82764	2044.4
1.84896	1963
1.87052	1890.1
1.89234	1822.9
1.91441	1758.8
1.93674	1700.1
1.95933	1645.9
1.98219	1594.8
2.00531	1548.4
2.0287	1505.2
2.05236	1463
2.0763	1425.3
2.10052	1388.5
2.12502	1353.9
2.14981	1321.5
2.17488	1290.7
2.20025	1261.1
2.22592	1232.9
2.25188	1206.6
2.27814	1181.3
2.30472	1157
2.3316	1133.3
2.3588	1110.2
2.38631	1088.2
2.41414	1067.1
2.4423	1046.7
2.47079	1027.2
2.49961	1007.8
2.52877	988.68
2.55826	971.13
2.5881	954.33
2.61829	936.18
2.64883	920.45
2.67973	905.11
2.71098	888.65
2.7426	874.72
2.77459	859.73
2.80696	845.92
2.8397	832.54
2.87282	818.92
2.90633	806.76
2.94023	793.63
2.97452	782.33
3.00922	769.95
3.04432	759.16
3.07983	747.79
3.11575	737.26
3.15209	727.05
3.18886	716.55
3.22606	707.62
3.26369	696.98
3.30175	688.49
3.34027	679.39
3.37923	670.42
3.41864	662.57
3.45852	653.67
3.49886	645.93
3.53967	638.68
3.58096	630.28
3.62273	623.35
3.66498	616.66
3.70773	609
3.75098	602.55
3.79473	596.37
3.83899	589.61
3.88377	583.38
3.92907	577.68
3.9749	571.95
4.02127	565.75
4.06817	560.49
4.11562	555.36
4.16363	550.01
4.21219	544.67
4.26132	539.94
4.31103	535.33
4.36131	530.57
4.41218	525.75
4.46365	521.5
4.51571	517.36
4.56838	513.33
4.62167	508.83
4.67558	504.99
4.73012	501.27
4.78529	497.64
4.8411	494.02
4.89757	490.18
4.9547	486.84
5.01249	483.59
5.07096	480.42
5.1301	477.33
5.18994	473.96
5.25048	471
5.31172	468.16
5.37368	465.39
5.43636	462.69
5.49977	460.02
5.56392	457.2
5.62882	454.72
5.69447	452.3
5.76089	449.95
5.82809	447.66
5.89607	445.43
5.96484	443.08
6.03442	440.91
6.1048	438.86
6.17601	436.87
6.24805	434.93
6.32093	433.04
6.39465	431.2
6.46924	429.3
6.5447	427.49
6.62104	416.38
6.69827	376.4
6.7764	353.73
6.85544	336.88
6.9354	322.95
7.0163	310.93
7.09813	300.12
7.18093	290.46
7.26469	281.68
7.34942	273.57
7.43515	266.01
7.52187	259
7.60961	252.25
7.69837	245.82
7.78816	239.76
7.87901	233.99
7.97091	228.42
8.06388	223.25
8.15794	218.35
8.2531	213.53
8.34936	209.04
8.44675	204.7
8.54527	200.41
8.64495	196.4
8.74578	192.51
8.84779	188.73
8.951	185.07
9.0554	181.56
9.16102	178.15
9.26788	174.84
9.37598	171.63
