"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	1.0406e+08
1.01166	1.0406e+08
1.02346	1.0406e+08
1.0354	1.0406e+08
1.04748	1.0406e+08
1.0597	1.0406e+08
1.07206	1.0406e+08
1.08456	1.0406e+08
1.09721	1.0406e+08
1.11001	1.0406e+08
1.12296	1.0406e+08
1.13606	1.0406e+08
1.14931	1.0406e+08
1.16271	1.0406e+08
1.17628	1.0406e+08
1.19	1.0406e+08
1.20388	1.0406e+08
1.21792	1.0406e+08
1.23212	1.0406e+08
1.2465	1.0406e+08
1.26103	1.0406e+08
1.27574	1.0406e+08
1.29062	1.0406e+08
1.30568	1.0406e+08
1.32091	1.0406e+08
1.33632	1.0406e+08
1.3519	1.0406e+08
1.36767	1.0406e+08
1.38362	1.0406e+08
1.39976	1.0406e+08
1.41609	1.0406e+08
1.43261	1.0406e+08
1.44932	1.0406e+08
1.46622	1.0406e+08
1.48332	1.0406e+08
1.50063	1.0406e+08
1.51813	1.0406e+08
1.53584	1.0406e+08
1.55375	1.0406e+08
1.57187	1.0406e+08
1.59021	1.0406e+08
1.60876	1.0406e+08
1.62752	1.0406e+08
1.64651	1.0406e+08
1.66571	1.0406e+08
1.68514	1.0406e+08
1.7048	1.0406e+08
1.72468	1.0406e+08
1.7448	1.0406e+08
1.76515	1.0406e+08
1.78574	1.0406e+08
1.80657	1.0406e+08
1.82764	1.0406e+08
1.84896	1.0406e+08
1.87052	1.0405e+08
1.89234	1.0405e+08
1.91441	1.0405e+08
1.93674	1.0405e+08
1.95933	1.0405e+08
1.98219	1.0405e+08
2.00531	1.0405e+08
2.0287	1.0405e+08
2.05236	1.0405e+08
2.0763	1.0405e+08
2.10052	1.0405e+08
2.12502	1.0405e+08
2.14981	1.0405e+08
2.17488	1.0405e+08
2.20025	1.0404e+08
2.22592	1.0404e+08
2.25188	1.0404e+08
2.27814	1.0404e+08
2.30472	1.0404e+08
2.3316	1.0404e+08
2.3588	1.0404e+08
2.38631	1.0403e+08
2.41414	1.0403e+08
2.4423	1.0403e+08
2.47079	1.0403e+08
2.49961	1.0402e+08
2.52877	1.0402e+08
2.55826	1.0402e+08
2.5881	1.0402e+08
2.61829	1.0401e+08
2.64883	1.0401e+08
2.67973	1.0401e+08
2.71098	1.04e+08
2.7426	1.04e+08
2.77459	1.04e+08
2.80696	1.0399e+08
2.8397	1.0399e+08
2.87282	1.0398e+08
2.90633	1.0398e+08
2.94023	1.0397e+08
2.97452	1.0397e+08
3.00922	1.0396e+08
3.04432	1.0396e+08
3.07983	1.0395e+08
3.11575	1.0394e+08
3.15209	1.0394e+08
3.18886	1.0393e+08
3.22606	1.0392e+08
3.26369	1.0391e+08
3.30175	1.0391e+08
3.34027	1.039e+08
3.37923	1.0389e+08
3.41864	1.0388e+08
3.45852	1.0387e+08
3.49886	1.0386e+08
3.53967	1.0385e+08
3.58096	1.0384e+08
3.62273	1.0383e+08
3.66498	1.0381e+08
3.70773	1.038e+08
3.75098	1.0379e+08
3.79473	1.0377e+08
3.83899	1.0376e+08
3.88377	1.0374e+08
3.92907	1.0373e+08
3.9749	1.0371e+08
4.02127	1.0369e+08
4.06817	1.0368e+08
4.11562	1.0366e+08
4.16363	1.0364e+08
4.21219	1.0362e+08
4.26132	1.036e+08
4.31103	1.0358e+08
4.36131	1.0355e+08
4.41218	1.0353e+08
4.46365	1.035e+08
4.51571	1.0348e+08
4.56838	1.0345e+08
4.62167	1.0342e+08
4.67558	1.034e+08
4.73012	1.0337e+08
4.78529	1.0334e+08
4.8411	1.033e+08
4.89757	1.0327e+08
4.9547	1.0323e+08
5.01249	1.032e+08
5.07096	1.0316e+08
5.1301	1.0312e+08
5.18994	1.0308e+08
5.25048	1.0304e+08
5.31172	1.03e+08
5.37368	1.0295e+08
5.43636	1.0291e+08
5.49977	1.0286e+08
5.56392	1.0281e+08
5.62882	1.0275e+08
5.69447	1.027e+08
5.76089	1.0265e+08
5.82809	1.0259e+08
5.89607	1.0253e+08
5.96484	1.0247e+08
6.03442	1.024e+08
6.1048	1.0234e+08
6.17601	1.0227e+08
6.24805	1.022e+08
6.32093	1.0213e+08
