"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1	4.3645e+06
1.01166	4.3645e+06
1.02346	4.3645e+06
1.0354	4.3645e+06
1.04748	4.3645e+06
1.0597	4.3645e+06
1.07206	4.3645e+06
1.08456	4.3645e+06
1.09721	4.3645e+06
1.11001	4.3645e+06
1.12296	4.3645e+06
1.13606	4.3645e+06
1.14931	4.3645e+06
1.16271	4.3645e+06
1.17628	4.3645e+06
1.19	4.3645e+06
1.20388	4.3645e+06
1.21792	4.3645e+06
1.23212	4.3645e+06
1.2465	4.3645e+06
1.26103	4.3645e+06
1.27574	4.3645e+06
1.29062	4.3645e+06
1.30568	4.3645e+06
1.32091	4.3645e+06
1.33632	4.3645e+06
1.3519	4.3645e+06
1.36767	4.3645e+06
1.38362	4.3645e+06
1.39976	4.3645e+06
1.41609	4.3645e+06
1.43261	4.3645e+06
1.44932	4.3645e+06
1.46622	4.3645e+06
1.48332	4.3645e+06
1.50063	4.3645e+06
1.51813	4.3645e+06
1.53584	4.3645e+06
1.55375	4.3645e+06
1.57187	4.3645e+06
1.59021	4.3645e+06
1.60876	4.3645e+06
1.62752	4.3645e+06
1.64651	4.3645e+06
1.66571	4.3644e+06
1.68514	4.3642e+06
1.7048	4.3641e+06
1.72468	4.364e+06
1.7448	4.3639e+06
1.76515	4.3637e+06
1.78574	4.3636e+06
1.80657	4.3634e+06
1.82764	4.3632e+06
1.84896	4.363e+06
1.87052	4.3628e+06
1.89234	4.3626e+06
1.91441	4.3623e+06
1.93674	4.3621e+06
1.95933	4.3618e+06
1.98219	4.3615e+06
2.00531	4.3611e+06
2.0287	4.3608e+06
2.05236	4.3604e+06
2.0763	4.36e+06
2.10052	4.3596e+06
2.12502	4.3591e+06
2.14981	4.3586e+06
2.17488	4.3581e+06
2.20025	4.3575e+06
2.22592	4.3568e+06
2.25188	4.3561e+06
2.27814	4.3554e+06
2.30472	4.3546e+06
2.3316	4.3538e+06
2.3588	4.3529e+06
2.38631	4.352e+06
2.41414	4.351e+06
2.4423	4.35e+06
2.47079	4.3489e+06
2.49961	4.3478e+06
2.52877	4.3466e+06
2.55826	4.3454e+06
2.5881	4.3441e+06
2.61829	4.3426e+06
2.64883	4.3413e+06
2.67973	4.3398e+06
2.71098	4.3381e+06
2.7426	4.3366e+06
2.77459	4.3348e+06
2.80696	4.333e+06
2.8397	4.3312e+06
2.87282	4.3292e+06
2.90633	4.3273e+06
2.94023	4.325e+06
2.97452	4.3229e+06
3.00922	4.3205e+06
3.04432	4.3182e+06
3.07983	4.3157e+06
3.11575	4.3131e+06
3.15209	4.3105e+06
3.18886	4.3075e+06
3.22606	4.3049e+06
3.26369	4.3015e+06
3.30175	4.2986e+06
3.34027	4.2953e+06
3.37923	4.2918e+06
3.41864	4.2885e+06
3.45852	4.2846e+06
3.49886	4.2809e+06
3.53967	4.2773e+06
3.58096	4.2727e+06
3.62273	4.2688e+06
3.66498	4.2647e+06
3.70773	4.2597e+06
3.75098	4.2552e+06
3.79473	4.2507e+06
3.83899	4.2454e+06
3.88377	4.2401e+06
3.92907	4.2351e+06
3.9749	4.2297e+06
4.02127	4.2235e+06
4.06817	4.2179e+06
4.11562	4.2121e+06
4.16363	4.2057e+06
4.21219	4.1989e+06
4.26132	4.1925e+06
4.31103	4.186e+06
4.36131	4.1788e+06
4.41218	4.171e+06
4.46365	4.1638e+06
4.51571	4.1563e+06
4.56838	4.1487e+06
4.62167	4.1396e+06
4.67558	4.1314e+06
4.73012	4.123e+06
4.78529	4.1143e+06
4.8411	4.1052e+06
4.89757	4.095e+06
4.9547	4.0856e+06
5.01249	4.0759e+06
5.07096	4.066e+06
5.1301	4.0558e+06
5.18994	4.044e+06
5.25048	4.0331e+06
5.31172	4.0221e+06
5.37368	4.0107e+06
5.43636	3.9991e+06
5.49977	3.987e+06
5.56392	3.9735e+06
5.62882	3.961e+06
5.69447	3.9482e+06
5.76089	3.9351e+06
5.82809	3.9217e+06
5.89607	3.9079e+06
5.96484	3.8927e+06
6.03442	3.8779e+06
6.1048	3.8631e+06
6.17601	3.8481e+06
6.24805	3.8328e+06
6.32093	3.8171e+06
6.39465	3.8011e+06
6.46924	3.7838e+06
6.5447	3.7664e+06
6.62104	3.7494e+06
6.69827	3.732e+06
6.7764	3.7144e+06
6.85544	3.6963e+06
6.9354	3.678e+06
7.0163	3.6593e+06
7.09813	3.6393e+06
7.18093	3.6191e+06
7.26469	3.5993e+06
7.34942	3.5793e+06
7.43515	3.5589e+06
7.52187	3.5381e+06
7.60961	3.5171e+06
7.69837	3.4957e+06
7.78816	3.474e+06
7.87901	3.4509e+06
7.97091	3.4276e+06
8.06388	3.4049e+06
8.15794	3.3819e+06
8.2531	3.3586e+06
8.34936	3.3349e+06
8.44675	3.311e+06
8.54527	3.2867e+06
8.64495	3.2622e+06
8.74578	3.2374e+06
8.84779	3.2116e+06
8.951	3.1849e+06
9.0554	3.1592e+06
9.16102	3.1332e+06
9.26788	3.107e+06
9.37598	3.0806e+06
9.48534	3.0538e+06
9.59598	3.0269e+06
9.70791	2.9997e+06
9.82115	2.9723e+06
9.9357	2.9447e+06
10.0516	2.9167e+06
10.1688	2.887e+06
10.2874	2.8585e+06
10.4074	2.8301e+06
10.5288	2.8014e+06
10.6516	2.7727e+06
10.7759	2.7438e+06
10.9016	2.7146e+06
11.0287	2.6855e+06
11.1574	2.6562e+06
11.2875	2.6267e+06
11.4192	2.597e+06
11.5524	2.5673e+06
11.6871	2.5374e+06
11.8234	2.5059e+06
11.9614	2.4758e+06
12.1009	2.4461e+06
12.242	2.4159e+06
