"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	4516.2
0.10139	4529.2
0.102799	4542.5
0.104227	4556
0.105676	4570
0.107145	4584
0.108634	4598.3
0.110143	4612.8
0.111674	4627.5
0.113226	4642.4
0.1148	4657.6
0.116395	4673
0.118013	4688.6
0.119653	4704.6
0.121315	4720.7
0.123001	4736.9
0.124711	4753.4
0.126444	4770.2
0.128201	4787.1
0.129983	4804.2
0.131789	4821.6
0.133621	4839.3
0.135478	4857.1
0.137361	4875
0.13927	4893.2
0.141205	4911.7
0.143167	4930.2
0.145157	4949.1
0.147174	4968.2
0.14922	4987.5
0.151293	5006.9
0.153396	5026.6
0.155528	5046.5
0.157689	5066.6
0.159881	5087.1
0.162103	5107.6
0.164355	5128.3
0.16664	5149.4
0.168955	5170.5
0.171303	5192.1
0.173684	5213.8
0.176098	5235.6
0.178545	5257.7
0.181027	5280
0.183542	5302.8
0.186093	5325.6
0.188679	5348.7
0.191301	5372
0.19396	5395.5
0.196656	5419.5
0.199389	5443.6
0.20216	5467.9
0.204969	5492.4
0.207818	5517.5
0.210706	5542.6
0.213634	5568
0.216603	5593.7
0.219613	5619.8
0.222665	5646
0.22576	5672.6
0.228897	5699.4
0.232078	5726.6
0.235303	5754.1
0.238574	5781.7
0.241889	5810
0.245251	5838.3
0.248659	5867
0.252115	5896.1
0.255619	5925.4
0.259171	5955.1
0.262773	5985.3
0.266425	6015.7
0.270127	6046.3
0.273881	6077.6
0.277688	6109
0.281547	6140.7
0.285459	6173.1
0.289427	6205.6
0.293449	6238.4
0.297527	6271.9
0.301662	6305.6
0.305854	6339.9
0.310105	6374.4
0.314414	6409.4
0.318784	6444.6
0.323214	6480.4
0.327706	6517.1
0.33226	6553.5
0.336878	6590.2
0.34156	6628
0.346306	6665.9
0.351119	6704.3
0.355999	6743.6
0.360946	6782.6
0.365962	6822.5
0.371048	6862.8
0.376205	6904
0.381433	6945.2
0.386734	6986.8
0.392109	7029.2
0.397558	7072.1
0.403083	7115.9
0.408685	7159.6
0.414365	7203.8
0.420123	7248.8
0.425962	7294.2
0.431882	7340.6
0.437884	7387.5
0.443969	7434.5
0.450139	7482.5
0.456395	7530.7
0.462737	7579.6
0.469168	7628.9
0.475689	7679.1
0.482299	7729.9
0.489002	7781.4
0.495798	7833.5
0.502688	7886.2
0.509674	7939.4
0.516757	7993.4
0.523939	8048.1
0.53122	8103.5
0.538603	8159.4
0.546088	8216
0.553677	8273.3
0.561372	8331.2
0.569174	8389.8
0.577084	8449.6
0.585104	8509.4
0.593235	8570.6
0.601479	8632.3
0.609838	8694.1
0.618314	8757.4
0.626907	8821.8
0.635619	8886.1
0.644452	8951.1
0.653409	9017.4
0.662489	9084.6
0.671696	9152.2
0.681031	9221
0.690495	9290.8
0.700092	9360.9
0.709821	9432
0.719686	9504.1
0.729687	9576.5
0.739828	9650.5
0.75011	9724.8
0.760534	9800.1
0.771104	9877
0.78182	9953.6
0.792685	10032
