卫星材料      原子序数      1keV质子产生的二次电子发射率      产生最大二次电子发射率质子的能量（keV）      对入射电子的最大二次电子发射率      产生最大二次电子发射率电子的能量（keV)      光电流（A/m2）
铝#     13      0.244      230      0.97      0.3      4E-5
导电涂料PSG 120 FD#      5      0.244      230      2.85      0.25      2E-5
氧化铟锡#      22      0.49      123      2.5      0.3      3.2E-5
聚酰亚胺#      5      0.455      140      1.9      0.2      2E-5
聚四氟乙烯#      7      0.455      140      2.4      0.25      2E-5
铈玻璃#      10      0.244      230      3.5      0.35      2E-5
二氧化硅#      10      0.455      140      2.4      0.4      2E-5
氧化铝#      13      0.244      230      3.2      0.35      4E-5
石墨#      6      0.455      140      1.0      0.3      2.1E-5
金#      79      0.413      135      0.88      0.8      2.9E-5      
英多克斯钡磁铁#      24.4      0.49      123      0.14      0.8      3.2E-5
镁#      12      0.244      230      0.92      0.25      4E-5
银#      47      0.49      123      1.0      0.8      2.9E-5
